symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
ACN,2018-08-13 00:00:00+00:00,160.23,161.9,160.05,160.73,1590073,148.6584660248,150.207861508,148.4914653141,149.1223568881,1590073,0.0,1.0
ACN,2018-08-14 00:00:00+00:00,161.24,161.63,159.89,160.09,2083204,149.5955255685,149.9573604418,148.3430202379,148.5285765831,2083204,0.0,1.0
ACN,2018-08-15 00:00:00+00:00,160.41,161.44,159.76,160.56,1669438,148.8254667356,149.7810819138,148.2224086134,148.9646339946,1669438,0.0,1.0
ACN,2018-08-16 00:00:00+00:00,162.89,163.25,161.51,161.8,1956994,151.1263654171,151.4603668386,149.8460266347,150.1150833353,1956994,0.0,1.0
ACN,2018-08-17 00:00:00+00:00,164.89,165.17,163.06,163.47,2717451,152.98192887,153.2417077534,151.2840883106,151.6644788184,2717451,0.0,1.0
ACN,2018-08-20 00:00:00+00:00,165.12,165.64,164.8,165.34,1285790,153.195318667,153.6777651648,152.8984285146,153.3994306469,1285790,0.0,1.0
ACN,2018-08-21 00:00:00+00:00,164.61,165.9,164.52,165.5,1291662,152.7221499866,153.9189884137,152.6386496312,153.5478757231,1291662,0.0,1.0
ACN,2018-08-22 00:00:00+00:00,164.92,165.86,164.34,164.69,1184363,153.0097623218,153.8818771446,152.4716489204,152.7963725247,1184363,0.0,1.0
ACN,2018-08-23 00:00:00+00:00,165.2,166.48,164.98,164.98,1299187,153.2695412052,154.457101815,153.0654292253,153.0654292253,1299187,0.0,1.0
ACN,2018-08-24 00:00:00+00:00,165.88,166.79,165.01,165.91,1768231,153.9004327791,154.7447141502,153.0932626771,153.9282662309,1768231,0.0,1.0
ACN,2018-08-27 00:00:00+00:00,166.87,167.25,166.14,166.78,1406780,154.8189366883,155.1714937443,154.141656028,154.7354363329,1406780,0.0,1.0
ACN,2018-08-28 00:00:00+00:00,167.67,167.9,166.58,167.38,1668506,155.5611620694,155.7745518665,154.5498799876,155.2921053688,1668506,0.0,1.0
ACN,2018-08-29 00:00:00+00:00,169.77,169.92,167.55,167.55,1370814,157.5095036949,157.6486709539,155.4498282623,155.4498282623,1370814,0.0,1.0
