symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AXP,2018-08-13 00:00:00+00:00,101.81,102.3,101.4,101.48,3389332,94.8375858705,95.294028431,94.4556645445,94.5301857788,3389332,0.0,1.0
AXP,2018-08-14 00:00:00+00:00,102.18,102.6,101.83,101.93,2327169,95.1822465794,95.5734830598,94.8562161791,94.9493677221,2327169,0.0,1.0
AXP,2018-08-15 00:00:00+00:00,101.51,101.93,100.84,101.57,2219592,94.5581312417,94.9493677221,93.934015904,94.6140221675,2219592,0.0,1.0
AXP,2018-08-16 00:00:00+00:00,102.65,103.14,101.87,101.9,2290459,95.6200588313,96.0765013917,94.8934767963,94.9214222592,2290459,0.0,1.0
AXP,2018-08-17 00:00:00+00:00,103.03,103.31,102.06,102.63,1950759,95.9740346945,96.2348590147,95.0704647279,95.6014285227,1950759,0.0,1.0
AXP,2018-08-20 00:00:00+00:00,103.83,103.97,102.93,103.02,2267945,96.719247038,96.8496591981,95.8808831515,95.9647195402,2267945,0.0,1.0
AXP,2018-08-21 00:00:00+00:00,104.81,105.25,103.76,103.92,3218610,97.6321321588,98.0419989478,96.6540409579,96.8030834266,3218610,0.0,1.0
AXP,2018-08-22 00:00:00+00:00,105.83,106.26,104.51,104.9,2761309,98.5822778969,98.9828295315,97.35267753,97.7159685475,2761309,0.0,1.0
AXP,2018-08-23 00:00:00+00:00,105.37,106.02,105.16,105.54,1866855,98.1537807993,98.7592658285,97.9581625591,98.3121384223,1866855,0.0,1.0
AXP,2018-08-24 00:00:00+00:00,105.76,106.34,105.45,105.91,1844075,98.5170718168,99.0573507659,98.2283020337,98.6567991312,1844075,0.0,1.0
AXP,2018-08-27 00:00:00+00:00,107.05,107.33,106.28,106.79,1971966,99.7187267208,99.979551041,99.0014598401,99.4765327091,1971966,0.0,1.0
AXP,2018-08-28 00:00:00+00:00,107.28,107.43,106.68,107.06,2275034,99.9329752695,100.072702584,99.3740660119,99.7280418751,2275034,0.0,1.0
AXP,2018-08-29 00:00:00+00:00,106.71,107.31,105.89,107.04,1896159,99.4020114748,99.9609207324,98.6381688226,99.7094115665,1896159,0.0,1.0
AXP,2018-08-30 00:00:00+00:00,106.23,106.67,105.97,106.6,1868328,98.9548840686,99.3647508576,98.712690057,99.2995447775,1868328,0.0,1.0
AXP,2018-08-31 00:00:00+00:00,105.98,106.4,105.3,105.52,2115471,98.7220052113,99.1132416916,98.0885747193,98.2935081137,2115471,0.0,1.0
AXP,2018-09-04 00:00:00+00:00,107.01,107.27,105.58,106.35,2941859,99.6814661036,99.9236601152,98.3493990395,99.0666659202,2941859,0.0,1.0
AXP,2018-09-05 00:00:00+00:00,105.68,107.25,104.88,107.0,5511854,98.4425505825,99.9050298067,97.6973382389,99.6721509493,5511854,0.0,1.0
AXP,2018-09-06 00:00:00+00:00,105.4,105.87,104.55,105.5,3623884,98.1817262622,98.619538514,97.3899381472,98.2748778052,3623884,0.0,1.0
AXP,2018-09-07 00:00:00+00:00,106.08,106.35,105.35,105.64,2498582,98.8151567542,99.0666659202,98.1351504907,98.4052899653,2498582,0.0,1.0
AXP,2018-09-10 00:00:00+00:00,107.29,107.8,106.56,106.56,3337016,99.9422904238,100.4173632928,99.2622841604,99.2622841604,3337016,0.0,1.0
AXP,2018-09-11 00:00:00+00:00,108.31,108.465,106.47,106.71,2795766,100.8924361619,101.0368210534,99.1784477717,99.4020114748,2795766,0.0,1.0
AXP,2018-09-12 00:00:00+00:00,107.88,108.69,107.66,108.31,4103135,100.4918845272,101.246412025,100.2869511327,100.8924361619,4103135,0.0,1.0
AXP,2018-09-13 00:00:00+00:00,108.66,109.19,107.93,108.2,3429550,101.2184665622,101.7121697398,100.5384602987,100.7899694646,3429550,0.0,1.0
AXP,2018-09-14 00:00:00+00:00,109.56,110.01,108.84,108.84,2999774,102.0568304487,102.4760123919,101.3861393395,101.3861393395,2999774,0.0,1.0
AXP,2018-09-17 00:00:00+00:00,109.2,110.24,108.94,110.21,2383118,101.7214848941,102.6902609407,101.4792908824,102.6623154778,2383118,0.0,1.0
AXP,2018-09-18 00:00:00+00:00,109.64,109.87,108.97,109.44,2173236,102.131351683,102.3456002318,101.5072363453,101.9450485971,2173236,0.0,1.0
AXP,2018-09-19 00:00:00+00:00,110.1,110.46,109.73,110.0,2365739,102.5598487805,102.8951943351,102.2151880717,102.4666972376,2365739,0.0,1.0
AXP,2018-09-20 00:00:00+00:00,111.11,111.77,110.65,110.85,2844755,103.5006793643,104.1154795477,103.0721822667,103.2584853526,2844755,0.0,1.0
AXP,2018-09-21 00:00:00+00:00,110.9,111.51,110.76,111.29,5662932,103.3050611241,103.873285536,103.174648964,103.6683521416,5662932,0.0,1.0
AXP,2018-09-24 00:00:00+00:00,109.85,110.84,109.35,110.74,1871623,102.3269699232,103.2491701983,101.8612122085,103.1560186554,1871623,0.0,1.0
