symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
BLK,2018-08-13 00:00:00+00:00,475.39,481.35,473.63,479.14,382733,416.5056941745,421.7274572265,414.9636970317,419.7911994505,382733,0.0,1.0
BLK,2018-08-14 00:00:00+00:00,477.21,478.6,474.004,476.54,408575,418.1002594018,419.3180866908,415.2913714245,417.5132491258,408575,0.0,1.0
BLK,2018-08-15 00:00:00+00:00,470.82,475.01,466.01,472.98,721053,412.5017584115,416.1727629732,408.2875503109,414.3942094505,721053,0.0,1.0
BLK,2018-08-16 00:00:00+00:00,474.61,480.72,472.29,473.43,681636,415.8223090771,421.1754923402,413.7896764797,414.7884700836,681636,0.0,1.0
BLK,2018-08-17 00:00:00+00:00,474.15,475.59,470.76,474.29,472791,415.4192870966,416.6809211226,412.4491903271,415.5419459603,472791,0.0,1.0
BLK,2018-08-20 00:00:00+00:00,475.56,477.02,473.77,476.45,465488,416.6546370804,417.9337938012,415.0863558953,417.4343969992,465488,0.0,1.0
BLK,2018-08-21 00:00:00+00:00,474.93,477.58,473.68,474.5,640139,416.102672194,418.4244292557,415.0075037687,415.7259342557,640139,0.0,1.0
BLK,2018-08-22 00:00:00+00:00,478.02,479.75,472.77,474.62,603529,418.8099285414,420.3256416421,414.2102211551,415.8310704245,603529,0.0,1.0
BLK,2018-08-23 00:00:00+00:00,470.46,478.1,470.08,477.2,579160,412.186349905,418.8800193207,411.8534187037,418.0914980544,579160,0.0,1.0
BLK,2018-08-24 00:00:00+00:00,477.51,477.66,470.51,473.65,580759,418.3630998239,418.4945200349,412.2301566421,414.9812197265,580759,0.0,1.0
BLK,2018-08-27 00:00:00+00:00,483.61,487.06,478.94,478.94,606968,423.7075217395,426.7301865934,419.6159725025,419.6159725025,606968,0.0,1.0
BLK,2018-08-28 00:00:00+00:00,483.35,485.4,481.85,483.89,517395,423.4797267071,425.2758029246,422.1655245967,423.9528394668,517395,0.0,1.0
BLK,2018-08-29 00:00:00+00:00,485.22,486.21,477.75,483.88,634603,425.1180986714,425.9854720642,418.5733721616,423.9440781194,634603,0.0,1.0
BLK,2018-08-30 00:00:00+00:00,475.27,485.51,472.86,484.12,559807,416.4005580057,425.372177746,414.2890732817,424.1543504571,559807,0.0,1.0
BLK,2018-08-31 00:00:00+00:00,479.06,479.81,473.36,473.77,506658,419.7211086713,420.3782097265,414.7271406518,415.0863558953,506658,0.0,1.0
BLK,2018-09-04 00:00:00+00:00,475.78,478.78,471.22,476.23,499829,416.8473867232,419.475790944,412.8522123076,417.2416473564,499829,0.0,1.0
