symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
BP,2018-08-13 00:00:00+00:00,42.68,43.1,42.61,42.85,4690475,32.6907420917,33.0124410532,32.6371255981,32.8209535761,4690475,0.0,1.0
BP,2018-08-14 00:00:00+00:00,42.61,43.0648,42.59,42.98,3882045,32.6371255981,32.9854796165,32.6218065999,32.9205270642,3882045,0.0,1.0
BP,2018-08-15 00:00:00+00:00,41.53,42.11,41.3,42.09,11224255,31.809899697,32.2541506439,31.6337312181,32.2388316457,11224255,0.0,1.0
BP,2018-08-16 00:00:00+00:00,41.72,42.13,41.71,42.02,7633918,31.9554301796,32.2694696421,31.9477706805,32.1852151521,7633918,0.0,1.0
BP,2018-08-17 00:00:00+00:00,41.91,42.07,41.7,41.89,5393008,32.1009606622,32.2235126476,31.9401111814,32.085641664,5393008,0.0,1.0
BP,2018-08-20 00:00:00+00:00,42.38,42.45,42.16,42.23,4391107,32.4609571192,32.5145736128,32.2924481393,32.3460646329,4391107,0.0,1.0
BP,2018-08-21 00:00:00+00:00,42.46,42.78,42.4,42.61,3811174,32.5222331118,32.7673370825,32.4762761173,32.6371255981,3811174,0.0,1.0
BP,2018-08-22 00:00:00+00:00,42.98,43.11,42.89,43.0,7951653,32.9205270642,33.0201005523,32.8515915725,32.9358460624,7951653,0.0,1.0
BP,2018-08-23 00:00:00+00:00,42.94,43.23,42.87,43.21,7896822,32.8898890679,33.1120145413,32.8362725743,33.0966955432,7896822,0.0,1.0
BP,2018-08-24 00:00:00+00:00,43.42,43.7,43.21,43.25,7166254,33.2575450239,33.4720109983,33.0966955432,33.1273335395,7166254,0.0,1.0
BP,2018-08-27 00:00:00+00:00,43.87,43.92,43.57,43.59,3439433,33.6022224827,33.6405199781,33.3724375102,33.3877565084,3439433,0.0,1.0
BP,2018-08-28 00:00:00+00:00,43.26,43.75,43.18,43.66,4100327,33.1349930386,33.5103084937,33.0737170459,33.441373002,4100327,0.0,1.0
BP,2018-08-29 00:00:00+00:00,43.39,43.57,43.17,43.3,4057059,33.2345665267,33.3724375102,33.0660575468,33.1656310349,4057059,0.0,1.0
BP,2018-08-30 00:00:00+00:00,43.58,43.67,43.33,43.41,5479375,33.3800970093,33.449032501,33.1886095322,33.2498855248,5479375,0.0,1.0
BP,2018-08-31 00:00:00+00:00,42.88,43.02,42.6,42.9,5118242,32.8439320734,32.9511650606,32.629466099,32.8592510715,5118242,0.0,1.0
BP,2018-09-04 00:00:00+00:00,42.72,42.96,42.64,42.8,4925678,32.721380088,32.9052080661,32.6601040954,32.7826560807,4925678,0.0,1.0
BP,2018-09-05 00:00:00+00:00,42.78,42.86,42.4,42.8,5418264,32.7673370825,32.8286130752,32.4762761173,32.7826560807,5418264,0.0,1.0
BP,2018-09-06 00:00:00+00:00,42.21,42.74,42.02,42.55,4808296,32.3307456347,32.7366990862,32.1852151521,32.5911686036,4808296,0.0,1.0
BP,2018-09-07 00:00:00+00:00,42.03,42.03,41.49,41.63,4717558,32.1928746512,32.1928746512,31.7792617007,31.8864946878,4717558,0.0,1.0
BP,2018-09-10 00:00:00+00:00,42.09,42.39,42.09,42.17,3812294,32.2388316457,32.4686166182,32.2388316457,32.3001076384,3812294,0.0,1.0
BP,2018-09-11 00:00:00+00:00,42.65,42.78,41.9,41.96,5119442,32.6677635944,32.7673370825,32.0933011631,32.1392581576,5119442,0.0,1.0
BP,2018-09-12 00:00:00+00:00,43.11,43.48,43.01,43.02,4410381,33.0201005523,33.3035020184,32.9435055615,32.9511650606,4410381,0.0,1.0
BP,2018-09-13 00:00:00+00:00,43.42,43.52,43.15,43.45,3337755,33.2575450239,33.3341400148,33.0507385487,33.2805235212,3337755,0.0,1.0
BP,2018-09-14 00:00:00+00:00,43.26,43.47,43.17,43.31,2568200,33.1349930386,33.2958425194,33.0660575468,33.173290534,2568200,0.0,1.0
BP,2018-09-17 00:00:00+00:00,43.24,43.64,43.17,43.48,3891622,33.1196740404,33.4260540038,33.0660575468,33.3035020184,3891622,0.0,1.0
BP,2018-09-18 00:00:00+00:00,43.56,43.75,43.41,43.41,4254282,33.3647780111,33.5103084937,33.2498855248,33.2498855248,4254282,0.0,1.0
BP,2018-09-19 00:00:00+00:00,43.98,44.05,43.65,43.71,5223715,33.6864769726,33.7400934662,33.4337135029,33.4796704974,5223715,0.0,1.0
BP,2018-09-20 00:00:00+00:00,44.57,44.63,44.16,44.48,9098380,34.1383874186,34.1843444131,33.8243479562,34.0694519269,9098380,0.0,1.0
BP,2018-09-21 00:00:00+00:00,44.67,44.95,44.54,44.66,8699775,34.2149824095,34.4294483838,34.1154089214,34.2073229104,8699775,0.0,1.0
BP,2018-09-24 00:00:00+00:00,45.22,45.59,45.02,45.38,6929183,34.6362548591,34.9196563252,34.4830648774,34.7588068444,6929183,0.0,1.0
BP,2018-09-25 00:00:00+00:00,46.32,46.61,46.12,46.26,15599695,35.4787997584,35.7009252318,35.3256097767,35.4328427639,15599695,0.0,1.0
BP,2018-09-26 00:00:00+00:00,46.26,46.64,46.11,46.21,10387290,35.4328427639,35.7239037291,35.3179502776,35.3945452684,10387290,0.0,1.0
BP,2018-09-27 00:00:00+00:00,46.87,47.16,46.78,46.99,12850222,35.900072208,36.1221976814,35.8311367162,35.991986197,12850222,0.0,1.0
BP,2018-09-28 00:00:00+00:00,46.1,46.68,46.07,46.62,5186368,35.3102907785,35.7545417254,35.2873122813,35.7085847309,5186368,0.0,1.0
BP,2018-10-01 00:00:00+00:00,46.77,46.95,46.61,46.93,6512872,35.8234772172,35.9613482007,35.7009252318,35.9460292025,6512872,0.0,1.0
BP,2018-10-02 00:00:00+00:00,46.81,46.95,46.58,46.87,5623616,35.8541152135,35.9613482007,35.6779467346,35.900072208,5623616,0.0,1.0
BP,2018-10-03 00:00:00+00:00,46.99,47.05,46.59,47.0,6463632,35.991986197,36.0379431915,35.6856062336,35.9996456961,6463632,0.0,1.0
BP,2018-10-04 00:00:00+00:00,46.77,47.04,46.47,46.92,5909551,35.8234772172,36.0302836924,35.5936922446,35.9383697034,5909551,0.0,1.0
BP,2018-10-05 00:00:00+00:00,46.5,46.71,46.19,46.52,5378653,35.6166707419,35.7775202227,35.3792262703,35.6319897401,5378653,0.0,1.0
BP,2018-10-08 00:00:00+00:00,45.81,45.85,45.28,45.36,5414513,35.0881653051,35.1188033014,34.6822118536,34.7434878463,5414513,0.0,1.0
BP,2018-10-09 00:00:00+00:00,46.01,46.23,45.42,45.66,4989468,35.2413552868,35.4098642666,34.7894448408,34.9732728188,4989468,0.0,1.0
BP,2018-10-10 00:00:00+00:00,45.15,46.13,45.07,46.09,5975488,34.5826383655,35.3332692758,34.5213623728,35.3026312794,5975488,0.0,1.0
BP,2018-10-11 00:00:00+00:00,44.13,44.9,43.84,44.72,9092887,33.8013694589,34.3911508884,33.5792439855,34.2532799049,9092887,0.0,1.0
BP,2018-10-12 00:00:00+00:00,44.55,44.79,44.03,44.72,6977392,34.1230684205,34.3068963985,33.7247744681,34.2532799049,6977392,0.0,1.0
BP,2018-10-15 00:00:00+00:00,44.5,44.79,44.3,44.71,4539858,34.084770925,34.3068963985,33.9315809433,34.2456204058,4539858,0.0,1.0
