symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
CTSH,2018-08-13 00:00:00+00:00,75.42,76.46,75.33,75.75,2933412,70.4177405788,71.3887621937,70.3337098621,70.7258532066,2933412,0.0,1.0
CTSH,2018-08-14 00:00:00+00:00,75.22,75.74,74.66,74.66,3949839,70.2310056528,70.7165164603,69.7081478601,69.7081478601,3949839,0.0,1.0
CTSH,2018-08-15 00:00:00+00:00,74.54,75.13,74.13,74.88,3155356,69.5961069045,70.1469749361,69.2133003063,69.9135562787,3155356,0.0,1.0
CTSH,2018-08-16 00:00:00+00:00,75.1,75.37,74.55,74.59,3379305,70.1189646972,70.3710568473,69.6054436508,69.642790636,3379305,0.0,1.0
CTSH,2018-08-17 00:00:00+00:00,75.56,75.81,74.92,75.06,3337119,70.5484550269,70.7818736844,69.9509032639,70.081617712,3337119,0.0,1.0
CTSH,2018-08-20 00:00:00+00:00,74.91,75.5,74.55,75.49,3201580,69.9415665176,70.4924345491,69.6054436508,70.4830978028,3201580,0.0,1.0
CTSH,2018-08-21 00:00:00+00:00,74.9,75.3,74.74,74.89,2258658,70.1189646972,70.4934317984,69.9691778568,70.1096030197,2258658,0.2,1.0
CTSH,2018-08-22 00:00:00+00:00,75.26,75.39,74.6,74.81,2341239,70.4559850883,70.5776868962,69.8381143713,70.0347095995,2341239,0.0,1.0
CTSH,2018-08-23 00:00:00+00:00,75.11,75.95,75.0,75.35,2207785,70.3155599254,71.1019408378,70.2125814725,70.5402401861,2207785,0.0,1.0
CTSH,2018-08-24 00:00:00+00:00,75.86,76.0,75.07,75.43,2399200,71.0176857401,71.1487492255,70.2781132152,70.6151336063,2399200,0.0,1.0
CTSH,2018-08-27 00:00:00+00:00,76.61,77.17,75.99,76.16,2786751,71.7198115548,72.2440654965,71.139387548,71.298536066,2786751,0.0,1.0
