symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
CVX,2018-08-13 00:00:00+00:00,122.44,123.68,122.26,123.31,4360635,98.3145614162,99.3102332241,98.1700284119,99.013137604,4360635,0.0,1.0
CVX,2018-08-14 00:00:00+00:00,122.58,123.65,122.0,122.92,3622179,98.4269759752,99.28614439,97.9612585167,98.6999827612,3622179,0.0,1.0
CVX,2018-08-15 00:00:00+00:00,117.94,121.73,117.43,121.7,9476747,94.701236307,97.7444590101,94.291726128,97.7203701761,9476747,0.0,1.0
CVX,2018-08-16 00:00:00+00:00,117.66,118.31,117.18,117.7,5455176,95.3757236607,95.9026165757,94.9866335081,95.4081478401,5455176,1.12,1.0
CVX,2018-08-17 00:00:00+00:00,117.8,118.58,117.09,118.15,6112920,95.4892082886,96.1214797866,94.9136791045,95.7729198582,6112920,0.0,1.0
CVX,2018-08-20 00:00:00+00:00,117.75,118.32,117.33,118.0,5403571,95.4486780644,95.9107226206,95.1082241808,95.6513291855,5403571,0.0,1.0
CVX,2018-08-21 00:00:00+00:00,117.94,118.93,117.79,118.38,4875808,95.6026929164,96.4051913562,95.4811022437,95.9593588897,4875808,0.0,1.0
CVX,2018-08-22 00:00:00+00:00,118.92,119.46,118.42,118.54,3636921,96.3970853114,96.8348117331,95.991783069,96.0890556072,3636921,0.0,1.0
CVX,2018-08-23 00:00:00+00:00,118.1,118.82,117.7,118.39,3962517,95.732389634,96.3160248629,95.4081478401,95.9674649345,3962517,0.0,1.0
CVX,2018-08-24 00:00:00+00:00,119.01,119.54,118.72,118.9,4415605,96.470039715,96.8996600918,96.2349644144,96.3808732217,4415605,0.0,1.0
CVX,2018-08-27 00:00:00+00:00,120.35,120.48,119.17,119.36,3901915,97.5562497244,97.6616283074,96.5997364325,96.7537512846,3901915,0.0,1.0
CVX,2018-08-28 00:00:00+00:00,119.86,121.34,119.75,120.6,4685762,97.1590535269,98.3587481641,97.0698870336,97.7589008455,4685762,0.0,1.0
CVX,2018-08-29 00:00:00+00:00,120.22,120.83,119.88,120.0,4101717,97.4508711414,97.945339877,97.1752656166,97.2725381548,4101717,0.0,1.0
CVX,2018-08-30 00:00:00+00:00,119.81,120.43,119.55,120.08,3352992,97.1185233027,97.6210980831,96.9077661367,97.3373865135,3352992,0.0,1.0
CVX,2018-08-31 00:00:00+00:00,118.46,119.4,118.09,119.4,5287021,96.0242072484,96.786175464,95.7242835891,96.786175464,5287021,0.0,1.0
CVX,2018-09-04 00:00:00+00:00,118.87,119.63,118.35,118.93,4590914,96.3565550871,96.9726144954,95.9350407551,96.4051913562,4590914,0.0,1.0
CVX,2018-09-05 00:00:00+00:00,118.92,118.94,117.26,118.06,4619414,96.3970853114,96.4132974011,95.0514818669,95.6999654546,4619414,0.0,1.0
CVX,2018-09-06 00:00:00+00:00,115.23,118.51,115.14,117.89,8191096,93.4059547631,96.0647374727,93.3330003595,95.5621626922,8191096,0.0,1.0
CVX,2018-09-07 00:00:00+00:00,114.6,115.35,113.39,114.52,6637780,92.8952739378,93.5032273013,91.9144425114,92.830425579,6637780,0.0,1.0
CVX,2018-09-10 00:00:00+00:00,114.48,115.72,114.38,115.43,5869320,92.7980013996,93.8031509606,92.7169409512,93.56807566,5869320,0.0,1.0
CVX,2018-09-11 00:00:00+00:00,115.02,115.74,113.76,114.34,5605326,93.2357278213,93.8193630503,92.2143661707,92.6845167718,5605326,0.0,1.0
CVX,2018-09-12 00:00:00+00:00,115.79,117.49,115.76,116.42,5067934,93.8598932745,95.2379208983,93.83557514,94.3705740998,5067934,0.0,1.0
CVX,2018-09-13 00:00:00+00:00,116.3,116.52,115.08,116.01,6297713,94.2733015616,94.4516345483,93.2843640904,94.0382262611,6297713,0.0,1.0
CVX,2018-09-14 00:00:00+00:00,117.38,117.61,116.35,116.43,4947777,95.148754405,95.3351934365,94.3138317859,94.3786801446,4947777,0.0,1.0
CVX,2018-09-17 00:00:00+00:00,117.51,118.68,117.28,117.61,5560189,95.254132988,96.2025402351,95.0676939566,95.3351934365,5560189,0.0,1.0
CVX,2018-09-18 00:00:00+00:00,118.13,118.9,117.98,118.5,4966268,95.7567077685,96.3808732217,95.6351170958,96.0566314278,4966268,0.0,1.0
CVX,2018-09-19 00:00:00+00:00,119.51,120.04,118.12,118.33,4855503,96.8753419573,97.3049623341,95.7486017237,95.9188286654,4855503,0.0,1.0
CVX,2018-09-20 00:00:00+00:00,119.42,121.32,119.11,120.19,5846714,96.8023875537,98.3425360745,96.5511001634,97.4265530068,5846714,0.0,1.0
CVX,2018-09-21 00:00:00+00:00,121.13,121.26,119.41,119.91,13703596,98.1885212224,98.2938998054,96.7942815088,97.1995837511,13703596,0.0,1.0
CVX,2018-09-24 00:00:00+00:00,122.62,122.98,121.57,121.91,6534374,99.3963219045,99.6881395189,98.5451871956,98.8207927204,6534374,0.0,1.0
CVX,2018-09-25 00:00:00+00:00,123.37,124.24,122.94,123.5,5396424,100.0042752679,100.7095011696,99.6557153395,100.1096538509,5396424,0.0,1.0
CVX,2018-09-26 00:00:00+00:00,121.95,123.42,121.74,122.99,4231391,98.8532168998,100.0448054922,98.682989958,99.6962455638,4231391,0.0,1.0
CVX,2018-09-27 00:00:00+00:00,122.47,123.0,121.71,122.16,4533363,99.2747312318,99.7043516086,98.6586718235,99.0234438415,4533363,0.0,1.0
CVX,2018-09-28 00:00:00+00:00,122.28,123.21,121.76,121.99,5202877,99.1207163797,99.8745785504,98.6992020477,98.8856410792,5202877,0.0,1.0
CVX,2018-10-01 00:00:00+00:00,124.39,124.88,123.11,123.11,5351500,100.8310918422,101.2282880397,99.7935181019,99.7935181019,5351500,0.0,1.0
CVX,2018-10-02 00:00:00+00:00,124.74,125.76,124.32,125.07,5445431,101.1148034119,101.9416199862,100.7743495283,101.3823028918,5445431,0.0,1.0
CVX,2018-10-03 00:00:00+00:00,125.31,125.84,124.78,125.13,4479706,101.5768479681,102.006468345,101.1472275913,101.4309391609,4479706,0.0,1.0
CVX,2018-10-04 00:00:00+00:00,124.95,125.59,124.19,124.79,4824327,101.2850303536,101.8038172238,100.6689709453,101.1553336361,4824327,0.0,1.0
CVX,2018-10-05 00:00:00+00:00,125.33,125.9,124.74,124.93,4317982,101.5930600578,102.055104614,101.1148034119,101.2688182639,4317982,0.0,1.0
CVX,2018-10-08 00:00:00+00:00,124.84,125.46,123.83,124.05,6267680,101.1958638603,101.6984386408,100.3771533309,100.5554863175,6267680,0.0,1.0
CVX,2018-10-09 00:00:00+00:00,126.82,127.44,125.07,125.51,6797889,102.8008607399,103.3034355203,101.3823028918,101.738968865,6797889,0.0,1.0
CVX,2018-10-10 00:00:00+00:00,122.6,127.6,122.46,127.23,6504440,99.3801098148,103.4331322379,99.2666251869,103.1332085786,6504440,0.0,1.0
CVX,2018-10-11 00:00:00+00:00,118.43,122.43,117.54,122.43,8590022,95.9998891139,99.2423070524,95.2784511226,99.2423070524,8590022,0.0,1.0
CVX,2018-10-12 00:00:00+00:00,117.77,119.68,116.18,119.53,7450700,95.464890154,97.0131447197,94.1760290235,96.891554047,7450700,0.0,1.0
CVX,2018-10-15 00:00:00+00:00,116.94,118.86,116.91,117.7,6047283,94.7920884318,96.3484490423,94.7677702973,95.4081478401,6047283,0.0,1.0
