symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
F,2018-08-13 00:00:00+00:00,9.46,9.75,9.42,9.74,66586182,7.9761500266,8.2206620253,7.9424242337,8.2122305771,66586182,0.0,1.0
F,2018-08-14 00:00:00+00:00,9.5,9.62,9.45,9.51,37657351,8.0098758196,8.1110531983,7.9677185784,8.0183072678,37657351,0.0,1.0
F,2018-08-15 00:00:00+00:00,9.45,9.5,9.35,9.46,36298597,7.9677185784,8.0098758196,7.8834040961,7.9761500266,36298597,0.0,1.0
F,2018-08-16 00:00:00+00:00,9.51,9.6,9.49,9.5,28857667,8.0183072678,8.0941903019,8.0014443713,8.0098758196,28857667,0.0,1.0
F,2018-08-17 00:00:00+00:00,9.55,9.6,9.46,9.53,32742936,8.0520330607,8.0941903019,7.9761500266,8.0351701642,32742936,0.0,1.0
F,2018-08-20 00:00:00+00:00,9.72,9.74,9.56,9.56,25252486,8.1953676806,8.2122305771,8.0604645089,8.0604645089,25252486,0.0,1.0
F,2018-08-21 00:00:00+00:00,9.86,9.9,9.69,9.77,46413897,8.3134079559,8.3471337488,8.1700733359,8.2375249218,46413897,0.0,1.0
F,2018-08-22 00:00:00+00:00,9.69,9.82,9.68,9.79,30803675,8.1700733359,8.2796821629,8.1616418877,8.2543878183,30803675,0.0,1.0
F,2018-08-23 00:00:00+00:00,9.63,9.69,9.58,9.67,31511844,8.1194846466,8.1700733359,8.0773274054,8.1532104395,31511844,0.0,1.0
F,2018-08-24 00:00:00+00:00,9.68,9.7,9.61,9.65,18380040,8.1616418877,8.1785047842,8.1026217501,8.136347543,18380040,0.0,1.0
F,2018-08-27 00:00:00+00:00,9.99,10.04,9.73,9.75,49769258,8.4230167829,8.465174024,8.2037991289,8.2206620253,49769258,0.0,1.0
F,2018-08-28 00:00:00+00:00,10.01,10.09,9.95,10.08,33845494,8.4398796793,8.5073312652,8.38929099,8.498899817,33845494,0.0,1.0
F,2018-08-29 00:00:00+00:00,9.97,10.02,9.9,10.01,37336431,8.4061538864,8.4483111276,8.3471337488,8.4398796793,37336431,0.0,1.0
F,2018-08-30 00:00:00+00:00,9.7,9.91,9.67,9.87,48539347,8.1785047842,8.355565197,8.1532104395,8.3218394041,48539347,0.0,1.0
