symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GS,2018-08-13 00:00:00+00:00,226.86,229.89,226.57,229.49,2663244,203.2362087612,205.9506833823,202.9764075599,205.5923368977,2663244,0.0,1.0
GS,2018-08-14 00:00:00+00:00,229.56,230.37,227.3,227.35,2359006,205.6550475325,206.3806991639,203.6303898943,203.6751832049,2359006,0.0,1.0
GS,2018-08-15 00:00:00+00:00,229.25,231.54,228.31,229.35,3218939,205.3773290069,207.4288626315,204.535214768,205.4669156281,3218939,0.0,1.0
GS,2018-08-16 00:00:00+00:00,233.0,233.29,230.45,230.67,2438306,208.7368273004,208.9966285017,206.4523684608,206.6494590274,2438306,0.0,1.0
GS,2018-08-17 00:00:00+00:00,233.38,233.72,231.64,232.51,2107243,209.0772564608,209.3818509727,207.5184492526,208.2978528567,2107243,0.0,1.0
GS,2018-08-20 00:00:00+00:00,235.78,235.98,234.08,234.13,2604975,211.2273353686,211.4065086109,209.7043628089,209.7491561195,2604975,0.0,1.0
GS,2018-08-21 00:00:00+00:00,238.65,239.53,235.29,235.29,2437333,213.7984713959,214.5868336621,210.7883609249,210.7883609249,2437333,0.0,1.0
GS,2018-08-22 00:00:00+00:00,239.34,239.67,237.58,237.89,1870940,214.4166190819,214.7122549317,212.8398945495,213.1176130751,1870940,0.0,1.0
GS,2018-08-23 00:00:00+00:00,236.34,239.28,235.84,239.05,2065059,211.7290204471,214.3628671092,211.2810873413,214.1568178805,2065059,0.0,1.0
GS,2018-08-24 00:00:00+00:00,235.11,237.8,234.7,237.36,1948234,210.6271050068,213.036985116,210.2597998601,212.6428039829,1948234,0.0,1.0
GS,2018-08-27 00:00:00+00:00,242.6,243.65,236.56,236.99,4106946,217.3371429316,218.2778024538,211.9261110136,212.3113334846,4106946,0.0,1.0
GS,2018-08-28 00:00:00+00:00,242.37,245.08,241.59,243.06,2951180,217.131093703,219.5588911364,216.4323180579,217.749241389,2951180,0.0,1.0
GS,2018-08-29 00:00:00+00:00,241.4,242.79,240.31,242.05,1911957,216.978796447,218.228177255,215.9990661731,217.5630392709,1911957,0.8,1.0
GS,2018-08-30 00:00:00+00:00,239.4,241.12,238.68,240.8,1963935,215.1811262196,216.7271226152,214.5339649377,216.4394953788,1963935,0.0,1.0
GS,2018-08-31 00:00:00+00:00,237.81,239.35,237.12,238.94,1965472,213.7519783888,215.1361844639,213.1317821604,214.7676620673,1965472,0.0,1.0
GS,2018-09-04 00:00:00+00:00,237.66,238.12,234.59,237.76,2083698,213.6171531218,214.0306172741,210.8577293227,213.7070366331,2083698,0.0,1.0
GS,2018-09-05 00:00:00+00:00,237.56,239.45,236.17,237.01,2092231,213.5272696104,215.2260679753,212.2778888024,213.0329102979,2092231,0.0,1.0
GS,2018-09-06 00:00:00+00:00,234.52,238.63,233.88,237.0,2651790,210.7948108648,214.4890231821,210.219556392,213.0239219467,2651790,0.0,1.0
GS,2018-09-07 00:00:00+00:00,233.91,235.64,232.68,235.05,1952884,210.2465214454,211.8015061921,209.1409542555,211.271193475,1952884,0.0,1.0
GS,2018-09-10 00:00:00+00:00,231.91,235.5,231.74,235.01,1948373,208.448851218,211.6756692762,208.2960492487,211.2352400705,1948373,0.0,1.0
GS,2018-09-11 00:00:00+00:00,230.21,231.65,228.66,230.67,2719540,206.9208315247,208.2151540884,205.5276370985,207.334295677,2719540,0.0,1.0
GS,2018-09-12 00:00:00+00:00,228.15,231.99,227.3,230.91,3577707,205.0692311905,208.5207580271,204.3052213438,207.5500161043,3577707,0.0,1.0
GS,2018-09-13 00:00:00+00:00,228.33,229.85,227.57,229.5,3003569,205.231021511,206.5972508838,204.5479068245,206.282658594,3003569,0.0,1.0
GS,2018-09-14 00:00:00+00:00,229.24,230.55,228.76,229.08,2228307,206.0489614644,207.2264354634,205.6175206098,205.9051478462,2228307,0.0,1.0
