symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
INTC,2018-08-13 00:00:00+00:00,48.45,49.24,48.38,48.92,17070585,42.1395371158,42.8266420554,42.0786543997,42.5483210672,17070585,0.0,1.0
INTC,2018-08-14 00:00:00+00:00,48.12,48.76,47.65,48.67,23061591,41.8525185968,42.4091605731,41.4437346454,42.3308827952,23061591,0.0,1.0
INTC,2018-08-15 00:00:00+00:00,47.46,48.0,46.9,47.78,26739870,41.2784815587,41.7481482262,40.7914198294,41.5568025468,26739870,0.0,1.0
INTC,2018-08-16 00:00:00+00:00,47.17,47.95,47.05,47.75,24358040,41.0262531631,41.7046605718,40.9218827926,41.5307099542,24358040,0.0,1.0
INTC,2018-08-17 00:00:00+00:00,47.1,47.39,46.33,47.0,26381992,40.965370447,41.2175988425,40.2956605692,40.8783951382,26381992,0.0,1.0
INTC,2018-08-20 00:00:00+00:00,46.5,47.12,46.19,47.05,24334042,40.4435185941,40.9827655087,40.1738951369,40.9218827926,24334042,0.0,1.0
INTC,2018-08-21 00:00:00+00:00,47.62,47.85,46.64,46.66,19254336,41.4176420528,41.617685263,40.5652840265,40.5826790882,19254336,0.0,1.0
INTC,2018-08-22 00:00:00+00:00,47.05,47.35,46.92,47.25,23182485,40.9218827926,41.182808719,40.8088148911,41.0958334102,23182485,0.0,1.0
INTC,2018-08-23 00:00:00+00:00,46.98,47.17,46.71,46.86,31343206,40.8610000764,41.0262531631,40.6261667426,40.7566297058,31343206,0.0,1.0
INTC,2018-08-24 00:00:00+00:00,47.66,47.89,47.08,47.29,18214708,41.4524321763,41.6524753865,40.9479753852,41.1306235337,18214708,0.0,1.0
INTC,2018-08-27 00:00:00+00:00,48.35,48.39,47.63,48.0,17170257,42.052561807,42.0873519306,41.4263395836,41.7481482262,17170257,0.0,1.0
INTC,2018-08-28 00:00:00+00:00,48.57,48.79,48.31,48.55,13472427,42.2439074864,42.4352531658,42.0177716835,42.2265124246,13472427,0.0,1.0
INTC,2018-08-29 00:00:00+00:00,48.75,48.86,48.4,48.7,13479099,42.4004630423,42.4961358819,42.0960494614,42.3569753878,13479099,0.0,1.0
INTC,2018-08-30 00:00:00+00:00,48.24,48.83,48.09,48.52,16418812,41.9568889673,42.4700432893,41.8264260041,42.200419832,16418812,0.0,1.0
INTC,2018-08-31 00:00:00+00:00,48.43,48.56,47.92,47.96,16483981,42.1221420541,42.2352099555,41.6785679792,41.7133581027,16483981,0.0,1.0
INTC,2018-09-04 00:00:00+00:00,47.96,48.43,47.56,48.38,15682894,41.7133581027,42.1221420541,41.3654568675,42.0786543997,15682894,0.0,1.0
INTC,2018-09-05 00:00:00+00:00,47.72,48.12,47.47,47.75,20857150,41.5046173616,41.8525185968,41.2871790896,41.5307099542,20857150,0.0,1.0
INTC,2018-09-06 00:00:00+00:00,47.26,47.96,47.21,47.76,19318129,41.1045309411,41.7133581027,41.0610432867,41.5394074851,19318129,0.0,1.0
INTC,2018-09-07 00:00:00+00:00,46.45,47.48,46.36,46.91,25958345,40.4000309397,41.2958766204,40.3217531618,40.8001173602,25958345,0.0,1.0
INTC,2018-09-10 00:00:00+00:00,46.3,46.76,46.23,46.56,21522362,40.2695679765,40.669654397,40.2086852604,40.4957037794,21522362,0.0,1.0
INTC,2018-09-11 00:00:00+00:00,44.93,46.03,44.89,46.0,32455320,39.0780062459,40.0347346428,39.0432161224,40.0086420501,32455320,0.0,1.0
INTC,2018-09-12 00:00:00+00:00,44.93,44.98,44.06,44.56,29778722,39.0780062459,39.1214939003,38.3213210593,38.7561976033,29778722,0.0,1.0
