symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
JPM,2018-08-13 00:00:00+00:00,113.89,115.88,113.82,115.56,10340337,97.8604748143,99.5703909165,97.8003270117,99.2954295332,10340337,0.0,1.0
JPM,2018-08-14 00:00:00+00:00,114.65,115.04,113.65,114.27,10597611,98.5135080996,98.8486172854,97.6542537768,98.1869914569,10597611,0.0,1.0
JPM,2018-08-15 00:00:00+00:00,113.7,114.33,112.97,113.82,10152082,97.697216493,98.2385467163,97.0699608374,97.8003270117,10152082,0.0,1.0
JPM,2018-08-16 00:00:00+00:00,114.77,115.31,114.3,114.35,10118820,98.6166186183,99.0806159525,98.2127690866,98.2557318027,10118820,0.0,1.0
JPM,2018-08-17 00:00:00+00:00,114.77,115.07,114.3,114.64,8505111,98.6166186183,98.8743949151,98.2127690866,98.5049155563,8505111,0.0,1.0
JPM,2018-08-20 00:00:00+00:00,114.62,115.05,114.11,114.59,8618739,98.4877304699,98.8572098286,98.0495107653,98.4619528402,8618739,0.0,1.0
JPM,2018-08-21 00:00:00+00:00,115.32,116.39,114.88,115.37,10976680,99.0892084958,100.0086106211,98.7111365938,99.1321712119,10976680,0.0,1.0
JPM,2018-08-22 00:00:00+00:00,114.97,115.41,114.78,115.31,8314901,98.7884694828,99.1665413848,98.6252111615,99.0806159525,8314901,0.0,1.0
JPM,2018-08-23 00:00:00+00:00,114.73,115.15,114.43,114.96,9265593,98.5822484454,98.9431352609,98.3244721486,98.7798769396,9265593,0.0,1.0
JPM,2018-08-24 00:00:00+00:00,114.68,115.22,114.45,114.98,8845718,98.5392857292,99.0032830635,98.341657235,98.797062026,8845718,0.0,1.0
JPM,2018-08-27 00:00:00+00:00,116.71,117.28,115.17,115.22,13768021,100.2835720043,100.7733469683,98.9603203474,99.0032830635,13768021,0.0,1.0
JPM,2018-08-28 00:00:00+00:00,116.14,117.03,115.97,117.0,8302618,99.7937970404,100.5585333876,99.6477238055,100.5327557579,8302618,0.0,1.0
JPM,2018-08-29 00:00:00+00:00,115.76,116.37,115.36,116.35,7221744,99.4672803978,99.9914255346,99.1235786687,99.9742404482,7221744,0.0,1.0
JPM,2018-08-30 00:00:00+00:00,115.19,116.04,114.98,115.59,8991802,98.9775054338,99.7078716081,98.797062026,99.3212071629,8991802,0.0,1.0
JPM,2018-08-31 00:00:00+00:00,114.58,114.84,113.82,114.83,13065719,98.453360297,98.6767664209,97.8003270117,98.6681738776,13065719,0.0,1.0
JPM,2018-09-04 00:00:00+00:00,115.15,115.24,113.63,114.34,10174177,98.9431352609,99.02046815,97.6370686904,98.2471392595,10174177,0.0,1.0
JPM,2018-09-05 00:00:00+00:00,114.59,115.7,114.25,115.0,11462446,98.4619528402,99.4157251384,98.1698063705,98.8142471125,11462446,0.0,1.0
JPM,2018-09-06 00:00:00+00:00,114.1,114.7,113.5,114.5,9877635,98.0409182221,98.5564708157,97.5253656284,98.3846199511,9877635,0.0,1.0
JPM,2018-09-07 00:00:00+00:00,114.32,114.77,113.63,114.5,10955590,98.2299541731,98.6166186183,97.6370686904,98.3846199511,10955590,0.0,1.0
JPM,2018-09-10 00:00:00+00:00,113.71,114.97,113.66,114.85,8276789,97.7058090362,98.7884694828,97.6628463201,98.6853589641,8276789,0.0,1.0
JPM,2018-09-11 00:00:00+00:00,114.43,114.58,113.18,113.54,9333781,98.3244721486,98.453360297,97.2504042452,97.5597358013,9333781,0.0,1.0
JPM,2018-09-12 00:00:00+00:00,113.08,114.88,112.85,114.25,10800758,97.1644788129,98.7111365938,96.9668503187,98.1698063705,10800758,0.0,1.0
JPM,2018-09-13 00:00:00+00:00,113.52,114.13,112.67,113.37,12470769,97.5425507149,98.0666958517,96.8121845406,97.4136625665,12470769,0.0,1.0
JPM,2018-09-14 00:00:00+00:00,113.5,114.49,113.23,113.81,10337948,97.5253656284,98.3760274079,97.2933669613,97.7917344685,10337948,0.0,1.0
JPM,2018-09-17 00:00:00+00:00,113.84,114.43,113.3,113.79,9561297,97.8175120982,98.3244721486,97.3535147639,97.774549382,9561297,0.0,1.0
JPM,2018-09-18 00:00:00+00:00,114.3,114.66,113.56,114.33,7944210,98.2127690866,98.5221006428,97.5769208878,98.2385467163,7944210,0.0,1.0
JPM,2018-09-19 00:00:00+00:00,117.62,118.06,114.44,114.44,16052776,101.065493438,101.44356534,98.3330646918,98.3330646918,16052776,0.0,1.0
JPM,2018-09-20 00:00:00+00:00,118.63,119.24,118.08,118.5,15589976,101.933340304,102.4574854408,101.4607504265,101.821637242,15589976,0.0,1.0
JPM,2018-09-21 00:00:00+00:00,117.85,119.23,117.74,119.13,24788247,101.2631219322,102.4488928976,101.1686039567,102.3629674653,24788247,0.0,1.0
JPM,2018-09-24 00:00:00+00:00,116.72,118.46,116.43,117.76,12492474,100.2921645476,101.7872670691,100.042980794,101.1857890432,12492474,0.0,1.0
JPM,2018-09-25 00:00:00+00:00,116.39,117.97,116.32,117.04,9308310,100.0086106211,101.366232451,99.9484628185,100.5671259308,9308310,0.0,1.0
JPM,2018-09-26 00:00:00+00:00,115.02,116.87,114.66,116.75,14023640,98.831432199,100.421052696,98.5221006428,100.3179421773,14023640,0.0,1.0
JPM,2018-09-27 00:00:00+00:00,114.52,115.76,114.16,115.42,13282987,98.4018050376,99.4672803978,98.0924734814,99.175133928,13282987,0.0,1.0
JPM,2018-09-28 00:00:00+00:00,112.84,114.24,112.52,113.65,15815120,96.9582577754,98.1612138272,96.6832963922,97.6542537768,15815120,0.0,1.0
JPM,2018-10-01 00:00:00+00:00,113.5,114.61,113.04,113.37,10147110,97.5253656284,98.4791379266,97.13010864,97.4136625665,10147110,0.0,1.0
JPM,2018-10-02 00:00:00+00:00,113.97,114.12,112.81,113.36,13753074,97.9292151601,98.0581033085,96.9324801458,97.4050700232,13753074,0.0,1.0
JPM,2018-10-03 00:00:00+00:00,115.04,115.66,114.48,114.94,17141962,98.8486172854,99.3813549655,98.3674348647,98.7626918531,17141962,0.0,1.0
JPM,2018-10-04 00:00:00+00:00,115.27,116.81,114.21,114.55,16357406,99.7336492378,101.0660845621,98.8165184302,99.1106924628,16357406,0.8,1.0
JPM,2018-10-05 00:00:00+00:00,114.62,116.1,114.02,115.83,13777633,99.1712577048,100.4517799645,98.652127059,100.2181711739,13777633,0.0,1.0
JPM,2018-10-08 00:00:00+00:00,115.32,115.78,113.35,114.25,14370869,99.776910125,100.1749102868,98.0724311712,98.8511271399,14370869,0.0,1.0
JPM,2018-10-09 00:00:00+00:00,114.52,115.03,113.67,114.67,14069477,99.0847359305,99.5259969795,98.349300849,99.214518592,14069477,0.0,1.0
JPM,2018-10-10 00:00:00+00:00,111.47,114.95,111.47,114.7,23086389,96.4458218143,99.45677956,96.4458218143,99.2404751243,23086389,0.0,1.0
JPM,2018-10-11 00:00:00+00:00,108.13,111.47,107.38,110.97,33705616,93.5559945527,96.4458218143,92.9070812454,96.0132129428,33705616,0.0,1.0
JPM,2018-10-12 00:00:00+00:00,106.95,110.83,105.6,110.37,32075740,92.5350376159,95.8920824588,91.3669936628,95.494082297,32075740,0.0,1.0
JPM,2018-10-15 00:00:00+00:00,106.34,108.85,106.32,107.2,18903216,92.0072547926,94.1789513276,91.9899504378,92.7513420516,18903216,0.0,1.0
JPM,2018-10-16 00:00:00+00:00,108.62,108.78,106.73,107.16,19302764,93.9799512467,94.1183860856,92.3446897124,92.7167333419,19302764,0.0,1.0
