symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MA,2018-08-13 00:00:00+00:00,202.31,204.34,201.89,202.65,2014044,196.8627189542,198.8380603584,196.4540276292,197.1935643125,2014044,0.0,1.0
MA,2018-08-14 00:00:00+00:00,203.88,204.05,201.39,202.81,2076568,198.39044605,198.5558687292,195.9674903375,197.3492562459,2076568,0.0,1.0
MA,2018-08-15 00:00:00+00:00,200.24,203.05,199.5,202.65,2955677,194.8484545667,197.5827941459,194.128379375,197.1935643125,2955677,0.0,1.0
MA,2018-08-16 00:00:00+00:00,203.6,204.23,200.82,201.94,2894010,198.1179851667,198.7310221542,195.412837825,196.5026813584,2894010,0.0,1.0
MA,2018-08-17 00:00:00+00:00,203.21,204.6,202.01,203.86,2308887,197.7384860792,199.09105975,196.5707965792,198.3709845584,2308887,0.0,1.0
MA,2018-08-20 00:00:00+00:00,204.75,204.98,202.36,203.47,2469307,199.2370209375,199.4608280917,196.9113726834,197.9914854709,2469307,0.0,1.0
MA,2018-08-21 00:00:00+00:00,203.09,205.93,202.63,205.0,1979646,197.6217171292,200.3852489459,197.1741028209,199.4802895834,1979646,0.0,1.0
MA,2018-08-22 00:00:00+00:00,204.31,205.22,202.25,202.5,1905302,198.8088681209,199.6943659917,196.8043344792,197.047603125,1905302,0.0,1.0
MA,2018-08-23 00:00:00+00:00,205.22,205.96,204.18,204.49,2247579,199.6943659917,200.4144411834,198.682368425,198.9840215459,2247579,0.0,1.0
MA,2018-08-24 00:00:00+00:00,209.4,209.5,205.57,206.0,2722618,203.76181775,203.8591252084,200.0349420959,200.4533641667,2722618,0.0,1.0
MA,2018-08-27 00:00:00+00:00,211.53,211.75,210.18,210.18,2550181,205.8344666125,206.0485430209,204.520815925,204.520815925,2550181,0.0,1.0
MA,2018-08-28 00:00:00+00:00,212.63,213.03,210.94,211.7,2240217,206.9048486542,207.2940784875,205.2603526084,205.9998892917,2240217,0.0,1.0
MA,2018-08-29 00:00:00+00:00,214.57,215.86,212.45,212.5,3172141,208.7926133459,210.0478795584,206.7296952292,206.7783489584,3172141,0.0,1.0
MA,2018-08-30 00:00:00+00:00,213.8,215.28,212.83,214.25,3083012,208.0433459167,209.4834963,207.0994635709,208.4812294792,3083012,0.0,1.0
MA,2018-08-31 00:00:00+00:00,215.56,215.8,213.5,213.58,3020000,209.7559571834,209.9894950834,207.7514235417,207.8292695084,3020000,0.0,1.0
MA,2018-09-04 00:00:00+00:00,216.82,217.35,214.68,215.68,3776927,210.9820311584,211.4977606875,208.89965155,209.8727261334,3776927,0.0,1.0
MA,2018-09-05 00:00:00+00:00,211.16,215.77,210.31,215.76,3869543,205.4744290167,209.9603028459,204.6473156209,209.9505721,3869543,0.0,1.0
MA,2018-09-06 00:00:00+00:00,212.77,213.27,210.47,211.44,3032908,207.0410790959,207.5276163875,204.8030075542,205.7468899,3032908,0.0,1.0
MA,2018-09-07 00:00:00+00:00,211.09,213.24,209.7,211.02,3298535,205.4063137959,207.49842415,204.053740125,205.338198575,3298535,0.0,1.0
MA,2018-09-10 00:00:00+00:00,211.67,213.48,211.38,212.66,3326193,205.9706970542,207.73196205,205.688505425,206.9340408917,3326193,0.0,1.0
MA,2018-09-11 00:00:00+00:00,213.45,213.56,210.1,210.52,2728610,207.7027698125,207.8098080167,204.4429699584,204.8516612834,2728610,0.0,1.0
MA,2018-09-12 00:00:00+00:00,214.03,214.46,211.86,213.05,2291506,208.2671530709,208.6855751417,206.155581225,207.3135399792,2291506,0.0,1.0
MA,2018-09-13 00:00:00+00:00,217.22,218.69,214.37,214.77,3897953,211.3712609917,212.8016806292,208.5979984292,208.9872282625,3897953,0.0,1.0
MA,2018-09-14 00:00:00+00:00,217.96,218.82,216.42,218.0,2638024,212.0913361834,212.928180325,210.592801325,212.1302591667,2638024,0.0,1.0
MA,2018-09-17 00:00:00+00:00,216.47,219.98,216.11,219.97,2500931,210.6414550542,214.0569468417,210.2911482042,214.0472160959,2500931,0.0,1.0
MA,2018-09-18 00:00:00+00:00,220.05,220.96,217.3,217.46,2851356,214.1250620625,215.0105599334,211.4491069584,211.6047988917,2851356,0.0,1.0
MA,2018-09-19 00:00:00+00:00,218.19,221.41,217.16,220.63,2882966,212.3151433375,215.4484434959,211.3128765167,214.6894453209,2882966,0.0,1.0
MA,2018-09-20 00:00:00+00:00,221.39,221.92,218.9,219.98,3108564,215.4289820042,215.9447115334,213.0060262917,214.0569468417,3108564,0.0,1.0
MA,2018-09-21 00:00:00+00:00,221.9,223.37,220.89,222.14,7177811,215.9252500417,217.3556696792,214.9424447125,216.1587879417,7177811,0.0,1.0
MA,2018-09-24 00:00:00+00:00,221.35,222.14,218.21,220.41,2520247,215.3900590209,216.1587879417,212.3346048292,214.4753689125,2520247,0.0,1.0
MA,2018-09-25 00:00:00+00:00,222.12,223.04,221.22,221.92,2181328,216.13932645,217.0345550667,215.263559325,215.9447115334,2181328,0.0,1.0
MA,2018-09-26 00:00:00+00:00,222.26,224.36,221.7,222.62,2963613,216.2755568917,218.3190135167,215.730635125,216.6258637417,2963613,0.0,1.0
MA,2018-09-27 00:00:00+00:00,222.31,223.61,222.06,222.69,2645186,216.3242106209,217.5892075792,216.080941975,216.6939789625,2645186,0.0,1.0
MA,2018-09-28 00:00:00+00:00,222.61,223.69,221.05,222.13,2954987,216.6161329959,217.6670535459,215.0981366459,216.1490571959,2954987,0.0,1.0
MA,2018-10-01 00:00:00+00:00,223.77,225.35,223.09,224.84,2955567,217.7448995125,219.2823573542,217.0832087959,218.7860893167,2955567,0.0,1.0
MA,2018-10-02 00:00:00+00:00,222.37,223.73,221.01,223.5,3060972,216.3825950959,217.7059765292,215.0592136625,217.482169375,3060972,0.0,1.0
MA,2018-10-03 00:00:00+00:00,223.13,224.33,222.55,223.78,2662415,217.1221317792,218.2898212792,216.5577485209,217.7546302584,2662415,0.0,1.0
MA,2018-10-04 00:00:00+00:00,216.15,222.15,214.59,222.07,5664863,210.3300711875,216.1685186875,208.8120748375,216.0906727209,5664863,0.0,1.0
MA,2018-10-05 00:00:00+00:00,213.26,217.19,211.85,216.45,4268256,207.7611542875,211.5898204056,206.3875107184,210.8689010857,4268256,0.25,1.0
MA,2018-10-08 00:00:00+00:00,208.26,211.8,203.25,211.7,5610955,202.8900778014,206.3387999536,198.0092591622,206.2413784238,5610955,0.0,1.0
MA,2018-10-09 00:00:00+00:00,209.76,210.99,206.69,208.06,5659367,204.3514007472,205.5496855628,201.3605597847,202.6952347419,5659367,0.0,1.0
MA,2018-10-10 00:00:00+00:00,196.69,209.33,196.01,209.33,8455000,191.6184068124,203.9324881694,190.9559404103,203.9324881694,8455000,0.0,1.0
MA,2018-10-11 00:00:00+00:00,194.51,199.73,192.91,194.65,9185152,189.4946174644,194.580021316,187.9358729889,189.6310076061,9185152,0.0,1.0
MA,2018-10-12 00:00:00+00:00,204.22,204.84,199.54,200.57,6160285,198.9542480006,199.5582614848,194.3949204095,195.3983621657,6160285,0.0,1.0
MA,2018-10-15 00:00:00+00:00,200.32,203.8,199.53,203.72,3969219,195.1548083414,198.5450775757,194.3851782565,198.4671403519,3969219,0.0,1.0
MA,2018-10-16 00:00:00+00:00,207.78,208.12,202.53,202.68,4694920,202.4224544587,202.7536876598,197.3078241482,197.4539564428,4694920,0.0,1.0
MA,2018-10-17 00:00:00+00:00,207.38,208.0,204.69,207.63,4431154,202.0327683398,202.6367818241,199.4121291903,202.2763221641,4431154,0.0,1.0
MA,2018-10-18 00:00:00+00:00,203.62,207.22,202.26,206.97,6264474,198.3697188222,201.8768938923,197.044786018,201.6333400679,6264474,0.0,1.0
MA,2018-10-19 00:00:00+00:00,203.06,207.44,203.0,203.87,4832515,197.8241582558,202.0912212576,197.7657053379,198.6132726465,4832515,0.0,1.0
MA,2018-10-22 00:00:00+00:00,204.5,206.26,201.88,203.72,4045080,199.2270282838,200.9416472069,196.674584205,198.4671403519,4045080,0.0,1.0
MA,2018-10-23 00:00:00+00:00,202.43,203.73,196.6,199.49,5076762,197.2104026185,198.4768825049,191.5307274357,194.3462096447,5076762,0.0,1.0
MA,2018-10-24 00:00:00+00:00,195.69,203.47,195.38,202.64,4415868,190.6441915152,198.2235865276,190.342184773,197.4149878309,4415868,0.0,1.0
MA,2018-10-25 00:00:00+00:00,204.2,205.1,195.71,197.0,4940685,198.9347636946,199.8115574621,190.6636758211,191.9204135546,4940685,0.0,1.0
MA,2018-10-26 00:00:00+00:00,197.49,202.41,195.73,199.2,6523587,192.3977790502,197.1909183126,190.6831601271,194.0636872085,6523587,0.0,1.0
MA,2018-10-29 00:00:00+00:00,191.04,202.34,187.63,200.35,6623805,186.1140903831,197.1227232418,182.7920162195,195.1840348003,6623805,0.0,1.0
MA,2018-10-30 00:00:00+00:00,187.73,193.63,183.75,192.58,9239212,182.8894377492,188.6373080029,179.0120608662,187.6143819408,9239212,0.0,1.0
MA,2018-10-31 00:00:00+00:00,197.67,199.96,193.25,193.25,7683459,192.5731378037,194.8040908344,188.2671061899,188.2671061899,7683459,0.0,1.0
MA,2018-11-01 00:00:00+00:00,199.71,200.0,195.01,198.89,4439047,194.56053701,194.8430594462,189.9817251131,193.7616804663,4439047,0.0,1.0
MA,2018-11-02 00:00:00+00:00,197.72,200.99,195.25,198.92,4261579,192.6218485686,195.8075325905,190.2155367844,193.7909069252,4261579,0.0,1.0
MA,2018-11-05 00:00:00+00:00,197.98,199.13,194.29,198.2,3110772,192.8751445458,193.9954921377,189.2802900991,193.0894719112,3110772,0.0,1.0
MA,2018-11-06 00:00:00+00:00,199.15,200.67,197.53,198.5,2916225,194.0149764436,195.4957836954,192.4367476621,193.3817365004,2916225,0.0,1.0
MA,2018-11-07 00:00:00+00:00,208.24,208.38,201.74,202.19,4922836,202.8705934954,203.006983637,196.5381940634,196.9765909472,4922836,0.0,1.0
MA,2018-11-08 00:00:00+00:00,208.86,208.86,206.0,207.36,3922167,203.4746069797,203.4746069797,200.6883512296,202.0132840339,3922167,0.0,1.0
MA,2018-11-09 00:00:00+00:00,205.62,207.98,203.42,207.38,3229908,200.3181494167,202.6172975181,198.1748757628,202.0327683398,3229908,0.0,1.0
MA,2018-11-12 00:00:00+00:00,199.14,205.25,198.73,204.62,3507348,194.0052342906,199.9576897567,193.6058060188,199.3439341195,3507348,0.0,1.0
MA,2018-11-13 00:00:00+00:00,198.17,202.25,197.55,199.78,2851971,193.0602454523,197.035043865,192.456231968,194.6287320809,2851971,0.0,1.0
MA,2018-11-14 00:00:00+00:00,197.58,202.23,195.61,200.56,3218798,192.4854584269,197.0155595591,190.5662542914,195.3886200127,3218798,0.0,1.0
MA,2018-11-15 00:00:00+00:00,200.71,201.15,194.33,197.02,3424560,195.5347523073,195.9634070381,189.3192587109,191.9398978605,3424560,0.0,1.0
MA,2018-11-16 00:00:00+00:00,199.04,200.91,197.45,199.0,2939576,193.9078127609,195.7295953667,192.3588104383,193.868844149,2939576,0.0,1.0
MA,2018-11-19 00:00:00+00:00,189.28,199.4,188.55,199.04,4488096,184.3994714599,194.2585302679,183.6882942929,193.9078127609,4488096,0.0,1.0
