symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MS,2018-08-13 00:00:00+00:00,47.35,48.48,47.28,48.34,11447455,40.8511224891,41.826027841,40.7907301222,41.7052431071,11447455,0.0,1.0
MS,2018-08-14 00:00:00+00:00,47.86,48.04,47.4,47.5,8695834,41.2911240196,41.4464186774,40.8942598941,40.980534704,8695834,0.0,1.0
MS,2018-08-15 00:00:00+00:00,47.45,47.59,47.02,47.26,9496125,40.937397299,41.0581820329,40.5664156164,40.7734751602,9496125,0.0,1.0
MS,2018-08-16 00:00:00+00:00,48.3,48.59,47.8,47.83,8264597,41.6707331832,41.9209301319,41.2393591337,41.2652415766,8264597,0.0,1.0
MS,2018-08-17 00:00:00+00:00,48.37,48.61,48.17,48.17,5854527,41.7311255501,41.9381850939,41.5585759303,41.5585759303,5854527,0.0,1.0
MS,2018-08-20 00:00:00+00:00,48.29,48.59,48.15,48.33,7898209,41.6621057022,41.9209301319,41.5413209683,41.6966156262,7898209,0.0,1.0
MS,2018-08-21 00:00:00+00:00,48.54,48.94,48.01,48.12,9632036,41.877792727,42.2228919666,41.4205362345,41.5154385254,9632036,0.0,1.0
MS,2018-08-22 00:00:00+00:00,48.6,48.66,48.24,48.36,4951975,41.9295576129,41.9813224988,41.6189682972,41.7224980691,4951975,0.0,1.0
MS,2018-08-23 00:00:00+00:00,48.13,48.72,47.98,48.42,7699280,41.5240660064,42.0330873848,41.3946537915,41.7742629551,7699280,0.0,1.0
MS,2018-08-24 00:00:00+00:00,48.14,48.61,48.1,48.34,5620737,41.5326934873,41.9381850939,41.4981835634,41.7052431071,5620737,0.0,1.0
MS,2018-08-27 00:00:00+00:00,49.89,50.1,48.42,48.48,13317463,43.0425026606,43.2236797614,41.7742629551,41.826027841,13317463,0.0,1.0
MS,2018-08-28 00:00:00+00:00,50.0,50.43,49.88,50.05,7419103,43.1374049515,43.5083866341,43.0338751797,43.1805423565,7419103,0.0,1.0
MS,2018-08-29 00:00:00+00:00,49.95,50.19,49.58,50.0,7856650,43.0942675466,43.3013270904,42.7750507499,43.1374049515,7856650,0.0,1.0
MS,2018-08-30 00:00:00+00:00,49.3,49.89,49.2,49.77,11399899,42.5334812822,43.0425026606,42.4472064723,42.9389728888,11399899,0.0,1.0
MS,2018-08-31 00:00:00+00:00,48.83,49.09,48.57,49.09,7698386,42.1279896757,42.3523041814,41.9036751699,42.3523041814,7698386,0.0,1.0
MS,2018-09-04 00:00:00+00:00,48.71,48.91,48.18,48.86,8548661,42.0244599038,42.1970095236,41.5672034113,42.1538721186,8548661,0.0,1.0
MS,2018-09-05 00:00:00+00:00,48.72,49.05,48.51,48.65,5527517,42.0330873848,42.3177942575,41.851910284,41.9726950178,5527517,0.0,1.0
MS,2018-09-06 00:00:00+00:00,47.93,48.82,47.68,48.55,7990648,41.3515163865,42.1193621947,41.1358293618,41.8864202079,7990648,0.0,1.0
MS,2018-09-07 00:00:00+00:00,48.22,48.4,47.88,48.02,7285237,41.6017133353,41.7570079931,41.3083789816,41.4291637155,7285237,0.0,1.0
MS,2018-09-10 00:00:00+00:00,47.94,48.47,47.91,48.37,4924961,41.3601438675,41.81740036,41.3342614246,41.7311255501,4924961,0.0,1.0
MS,2018-09-11 00:00:00+00:00,47.86,48.04,47.39,47.71,5011708,41.2911240196,41.4464186774,40.8856324131,41.1617118048,5011708,0.0,1.0
MS,2018-09-12 00:00:00+00:00,47.48,48.1,47.26,47.79,6231787,40.963279742,41.4981835634,40.7734751602,41.2307316527,6231787,0.0,1.0
MS,2018-09-13 00:00:00+00:00,47.72,48.1,47.5,47.73,8380123,41.1703392858,41.4981835634,40.980534704,41.1789667667,8380123,0.0,1.0
MS,2018-09-14 00:00:00+00:00,48.19,48.51,47.85,47.89,6955800,41.5758308923,41.851910284,41.2824965386,41.3170064626,6955800,0.0,1.0
MS,2018-09-17 00:00:00+00:00,47.68,48.54,47.56,48.5,6726514,41.1358293618,41.877792727,41.0322995899,41.843282803,6726514,0.0,1.0
MS,2018-09-18 00:00:00+00:00,47.85,48.04,47.55,47.86,7082739,41.2824965386,41.4464186774,41.0236721089,41.2911240196,7082739,0.0,1.0
MS,2018-09-19 00:00:00+00:00,49.1,49.36,47.88,47.88,12489109,42.3609316624,42.5852461682,41.3083789816,41.3083789816,12489109,0.0,1.0
MS,2018-09-20 00:00:00+00:00,49.88,50.37,49.71,49.75,11810016,43.0338751797,43.4566217482,42.8872080028,42.9217179268,11810016,0.0,1.0
MS,2018-09-21 00:00:00+00:00,49.41,49.97,49.15,49.93,21450371,42.6283835731,43.1115225086,42.4040690674,43.0770125846,21450371,0.0,1.0
MS,2018-09-24 00:00:00+00:00,48.56,49.45,48.48,49.37,7917636,41.8950476889,42.6628934971,41.826027841,42.5938736492,7917636,0.0,1.0
MS,2018-09-25 00:00:00+00:00,48.28,49.19,48.25,48.7,9007555,41.6534782212,42.4385789913,41.6275957782,42.0158324228,9007555,0.0,1.0
MS,2018-09-26 00:00:00+00:00,47.7,48.49,47.54,48.36,8443136,41.1530843238,41.834655322,41.0150446279,41.7224980691,8443136,0.0,1.0
MS,2018-09-27 00:00:00+00:00,47.77,48.16,47.55,47.83,12204923,41.2134766907,41.5499484493,41.0236721089,41.2652415766,12204923,0.0,1.0
MS,2018-09-28 00:00:00+00:00,46.57,47.55,46.4,47.42,14187318,40.1781789719,41.0236721089,40.031511795,40.911514856,14187318,0.0,1.0
MS,2018-10-01 00:00:00+00:00,46.63,47.31,46.52,46.92,9710524,40.2299438578,40.8166125651,40.1350415669,40.4801408065,9710524,0.0,1.0
MS,2018-10-02 00:00:00+00:00,46.63,46.96,46.15,46.7,9589150,40.2299438578,40.5146507305,39.8158247703,40.2903362247,9589150,0.0,1.0
MS,2018-10-03 00:00:00+00:00,47.11,47.73,46.98,47.17,8985334,40.6440629453,41.1789667667,40.5319056925,40.6958278313,8985334,0.0,1.0
MS,2018-10-04 00:00:00+00:00,47.27,47.93,46.97,47.38,7722601,40.7821026412,41.3515163865,40.5232782115,40.8770049321,7722601,0.0,1.0
MS,2018-10-05 00:00:00+00:00,46.75,47.53,46.5,47.38,7939075,40.3334736297,41.0064171469,40.1177866049,40.8770049321,7939075,0.0,1.0
MS,2018-10-08 00:00:00+00:00,47.02,47.22,46.3,46.51,7054493,40.5664156164,40.7389652362,39.9452369851,40.1264140859,7054493,0.0,1.0
MS,2018-10-09 00:00:00+00:00,46.16,46.81,45.94,46.7,9999920,39.8244522513,40.3852385156,39.6346476695,40.2903362247,9999920,0.0,1.0
MS,2018-10-10 00:00:00+00:00,44.62,46.41,44.52,46.34,14143842,38.4958201788,40.040139276,38.4095453689,39.9797469091,14143842,0.0,1.0
MS,2018-10-11 00:00:00+00:00,43.49,44.78,43.17,44.18,21746894,37.5209148269,38.6338598746,37.2448354352,38.1162110152,21746894,0.0,1.0
MS,2018-10-12 00:00:00+00:00,43.43,44.57,42.88,44.3,16049323,37.4691499409,38.4526827738,36.9946384864,38.2197407871,16049323,0.0,1.0
MS,2018-10-15 00:00:00+00:00,43.47,43.77,43.07,43.42,11986809,37.5036598649,37.7624842946,37.1585606253,37.4605224599,11986809,0.0,1.0
MS,2018-10-16 00:00:00+00:00,45.94,46.2,44.48,45.74,24174876,39.6346476695,39.8589621752,38.3750354449,39.4620980497,24174876,0.0,1.0
MS,2018-10-17 00:00:00+00:00,47.19,47.84,45.53,45.96,22122135,40.7130827933,41.2738690576,39.2809209489,39.6519026315,22122135,0.0,1.0
MS,2018-10-18 00:00:00+00:00,46.03,47.49,45.75,46.91,14873921,39.7122949984,40.971907223,39.4707255307,40.4715133255,14873921,0.0,1.0
MS,2018-10-19 00:00:00+00:00,46.42,46.73,45.64,46.07,14931528,40.048766757,40.3162186677,39.3758232398,39.7468049223,14931528,0.0,1.0
MS,2018-10-22 00:00:00+00:00,45.11,46.72,45.09,46.43,11166709,38.9185667473,40.3075911867,38.9013117853,40.057394238,11166709,0.0,1.0
MS,2018-10-23 00:00:00+00:00,44.52,44.81,43.31,44.02,15095320,38.4095453689,38.6597423176,37.365620169,37.9781713193,15095320,0.0,1.0
MS,2018-10-24 00:00:00+00:00,43.49,44.8,43.33,44.79,15067401,37.5209148269,38.6511148366,37.382875131,38.6424873556,15067401,0.0,1.0
MS,2018-10-25 00:00:00+00:00,44.55,44.96,43.95,43.96,13838470,38.4354278118,38.7891545324,37.9177789524,37.9264064334,13838470,0.0,1.0
MS,2018-10-26 00:00:00+00:00,43.97,44.52,43.25,43.77,12997093,37.9350339144,38.4095453689,37.3138552831,37.7624842946,12997093,0.0,1.0
MS,2018-10-29 00:00:00+00:00,43.95,45.08,43.29,44.59,12869775,37.9177789524,38.8926843043,37.348365207,38.4699377358,12869775,0.0,1.0
MS,2018-10-30 00:00:00+00:00,44.5,44.59,43.56,44.0,14780330,38.6511148366,38.7292856306,37.8346643209,38.2168326474,14780330,0.3,1.0
MS,2018-10-31 00:00:00+00:00,45.66,46.34,45.11,45.14,16928328,39.6586495155,40.2492732927,39.1809391074,39.2069960387,16928328,0.0,1.0
MS,2018-11-01 00:00:00+00:00,45.89,46.2,45.45,45.82,8679872,39.8584193225,40.1276742798,39.476250996,39.797619816,8679872,0.0,1.0
MS,2018-11-02 00:00:00+00:00,45.95,46.95,45.54,46.5,10478833,39.9105331852,40.7790975635,39.5544217901,40.3882435933,10478833,0.0,1.0
MS,2018-11-05 00:00:00+00:00,45.82,46.36,45.63,46.02,12318900,39.797619816,40.2666445803,39.6325925841,39.9713326917,12318900,0.0,1.0
MS,2018-11-06 00:00:00+00:00,45.72,46.07,45.29,45.78,10737349,39.7107633782,40.0147609106,39.3372806955,39.7628772409,10737349,0.0,1.0
MS,2018-11-07 00:00:00+00:00,46.61,46.81,45.63,46.19,9951156,40.4837856749,40.6574985506,39.6325925841,40.118988636,9951156,0.0,1.0
MS,2018-11-08 00:00:00+00:00,46.43,46.85,46.2,46.33,9484122,40.3274440868,40.6922411257,40.1276742798,40.240587649,9484122,0.0,1.0
MS,2018-11-09 00:00:00+00:00,45.73,46.44,45.65,46.36,10017903,39.719449022,40.3361297306,39.6499638717,40.2666445803,10017903,0.0,1.0
MS,2018-11-12 00:00:00+00:00,44.13,45.85,43.92,45.52,14302034,38.3297460166,39.8236767474,38.1473474971,39.5370505025,14302034,0.0,1.0
MS,2018-11-13 00:00:00+00:00,44.68,45.13,43.43,43.61,12346067,38.8074564247,39.1983103949,37.7217509517,37.8780925398,12346067,0.0,1.0
MS,2018-11-14 00:00:00+00:00,43.85,46.75,43.05,45.09,13265247,38.0865479907,40.6053846879,37.391696488,39.1635678198,13265247,0.0,1.0
MS,2018-11-15 00:00:00+00:00,44.3,44.47,43.1,43.35,14057610,38.4774019609,38.6250579052,37.4351247069,37.6522658015,14057610,0.0,1.0
MS,2018-11-16 00:00:00+00:00,44.13,44.34,43.47,43.99,9775079,38.3297460166,38.512144536,37.7564935269,38.2081470036,9775079,0.0,1.0
MS,2018-11-19 00:00:00+00:00,44.41,44.79,44.04,44.17,9856718,38.5729440425,38.9029985063,38.2515752225,38.3644885917,9856718,0.0,1.0
MS,2018-11-20 00:00:00+00:00,43.1,44.01,42.54,43.89,16035711,37.4351247069,38.2255182912,36.948728655,38.1212905658,16035711,0.0,1.0
MS,2018-11-21 00:00:00+00:00,43.73,44.23,43.15,43.29,7961914,37.9823202653,38.4166024544,37.4785529258,37.6001519388,7961914,0.0,1.0
MS,2018-11-23 00:00:00+00:00,43.08,43.61,43.045,43.28,4822440,37.4177534193,37.8780925398,37.3873536661,37.591466295,4822440,0.0,1.0
MS,2018-11-26 00:00:00+00:00,44.28,44.7,43.72,43.72,8862886,38.4600306733,38.8248277123,37.9736346215,37.9736346215,8862886,0.0,1.0
MS,2018-11-27 00:00:00+00:00,44.05,44.4,43.83,44.02,8035949,38.2602608663,38.5642583987,38.0691767031,38.234203935,8035949,0.0,1.0
MS,2018-11-28 00:00:00+00:00,45.31,45.53,43.67,44.29,12380774,39.354651983,39.5457361463,37.9302064025,38.4687163171,12380774,0.0,1.0
MS,2018-11-29 00:00:00+00:00,44.51,45.09,44.32,44.9,9203174,38.6598004804,39.1635678198,38.4947732485,38.9985405879,9203174,0.0,1.0
MS,2018-11-30 00:00:00+00:00,44.39,44.61,43.91,44.38,11282504,38.555572755,38.7466569182,38.1386618534,38.5468871112,11282504,0.0,1.0
MS,2018-12-03 00:00:00+00:00,45.41,46.14,45.0,45.07,15436860,39.4415084209,40.0755604171,39.0853970258,39.1461965322,15436860,0.0,1.0
MS,2018-12-04 00:00:00+00:00,43.12,45.17,42.32,45.05,18401387,37.4524959945,39.2330529701,36.7576444918,39.1288252447,18401387,0.0,1.0
MS,2018-12-06 00:00:00+00:00,42.61,42.73,40.98,41.65,17552418,37.0095281615,37.1137558869,35.5937682248,36.1757063583,17552418,0.0,1.0
MS,2018-12-07 00:00:00+00:00,41.32,43.06,40.95,42.43,15499771,35.8890801134,37.4003821318,35.5677112934,36.8531865734,15499771,0.0,1.0
MS,2018-12-10 00:00:00+00:00,40.71,41.42,39.56,41.09,16323168,35.3592558426,35.9759365513,34.3604068075,35.6893103064,16323168,0.0,1.0
MS,2018-12-11 00:00:00+00:00,40.62,41.88,40.18,41.52,13619401,35.2810850486,36.3754761653,34.8989167221,36.0627929891,13619401,0.0,1.0
MS,2018-12-12 00:00:00+00:00,40.81,41.76,40.8,41.11,14207559,35.4461122805,36.2712484399,35.4374266367,35.706681594,14207559,0.0,1.0
MS,2018-12-13 00:00:00+00:00,40.6,41.12,40.33,40.88,15964625,35.263713761,35.7153672378,35.0292013789,35.506911787,15964625,0.0,1.0
MS,2018-12-14 00:00:00+00:00,39.64,40.94,39.53,40.07,17332199,34.4298919578,35.5590256497,34.3343498762,34.8033746405,17332199,0.0,1.0
MS,2018-12-17 00:00:00+00:00,39.6,40.66,39.02,39.29,15786277,34.3951493827,35.3158276237,33.8913820432,34.1258944254,15786277,0.0,1.0
MS,2018-12-18 00:00:00+00:00,39.89,40.82,39.64,39.95,14538285,34.6470330524,35.4547979243,34.4298919578,34.6991469151,14538285,0.0,1.0
MS,2018-12-19 00:00:00+00:00,39.3,41.08,38.84,39.9,19412265,34.1345800692,35.6806246626,33.7350404551,34.6557186962,19412265,0.0,1.0
MS,2018-12-20 00:00:00+00:00,38.91,39.66,38.56,38.89,27520303,33.7958399616,34.4472632454,33.4918424292,33.778468674,27520303,0.0,1.0
MS,2018-12-21 00:00:00+00:00,37.68,39.72,37.49,38.41,21528542,32.7275057762,34.4993771081,32.5624785443,33.3615577724,21528542,0.0,1.0
MS,2018-12-24 00:00:00+00:00,37.01,38.0,36.74,37.61,11444426,32.1455676427,33.0054463773,31.9110552606,32.6667062697,11444426,0.0,1.0
MS,2018-12-26 00:00:00+00:00,39.3,39.4,36.78,37.28,16814171,34.1345800692,34.221436507,31.9457978357,32.3800800249,16814171,0.0,1.0
MS,2018-12-27 00:00:00+00:00,39.66,39.77,38.33,38.48,13897851,34.4472632454,34.542805327,33.2920726222,33.4223572789,13897851,0.0,1.0
MS,2018-12-28 00:00:00+00:00,39.37,40.0,38.94,39.94,12854257,34.1953795756,34.742575134,33.821896893,34.6904612713,12854257,0.0,1.0
MS,2018-12-31 00:00:00+00:00,39.65,40.08,39.065,39.67,9518406,34.4385776016,34.8120602843,33.9304674402,34.4559488891,9518406,0.0,1.0
MS,2019-01-02 00:00:00+00:00,40.4,40.72,38.76,39.02,10648013,35.0900008853,35.3679414864,33.6655553049,33.8913820432,10648013,0.0,1.0
MS,2019-01-03 00:00:00+00:00,39.68,40.22,39.25,40.22,13034509,34.4646345329,34.9336592972,34.0911518502,34.9336592972,13034509,0.0,1.0
MS,2019-01-04 00:00:00+00:00,41.3,41.58,40.28,40.5,14371614,35.8717088259,36.1149068518,34.9857731599,35.1768573232,14371614,0.0,1.0
MS,2019-01-07 00:00:00+00:00,41.71,42.16,40.98,41.51,11812629,36.227820221,36.6186741912,35.5937682248,36.0541073453,11812629,0.0,1.0
