symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
ORCL,2018-08-13 00:00:00+00:00,48.01,48.59,47.97,48.34,12152082,44.2400396437,44.7744954444,44.2031806229,44.5441265648,12152082,0.0,1.0
ORCL,2018-08-14 00:00:00+00:00,48.23,48.35,47.94,48.12,11513673,44.4427642577,44.55334132,44.1755363574,44.3414019507,11513673,0.0,1.0
ORCL,2018-08-15 00:00:00+00:00,47.84,48.26,47.53,48.1,14091015,44.0833888055,44.4704085233,43.7977313948,44.3229724403,14091015,0.0,1.0
ORCL,2018-08-16 00:00:00+00:00,48.1,48.45,48.04,48.14,11874326,44.3229724403,44.6454888718,44.2676839092,44.3598314611,11874326,0.0,1.0
ORCL,2018-08-17 00:00:00+00:00,48.36,48.5,47.99,48.21,11411979,44.5625560752,44.6915626477,44.2216101333,44.4243347474,11411979,0.0,1.0
ORCL,2018-08-20 00:00:00+00:00,48.42,48.6,48.26,48.4,11936737,44.6178446063,44.7837101996,44.4704085233,44.5994150959,11936737,0.0,1.0
ORCL,2018-08-21 00:00:00+00:00,48.41,48.64,48.37,48.58,10187882,44.6086298511,44.8205692203,44.5717708303,44.7652806892,10187882,0.0,1.0
ORCL,2018-08-22 00:00:00+00:00,48.8,48.91,48.24,48.34,11639421,44.9680053033,45.0693676103,44.4519790129,44.5441265648,11639421,0.0,1.0
ORCL,2018-08-23 00:00:00+00:00,48.96,49.34,48.68,48.8,11026688,45.1154413863,45.4656020833,44.8574282411,44.9680053033,11026688,0.0,1.0
ORCL,2018-08-24 00:00:00+00:00,49.26,49.39,48.97,49.0,14011940,45.3918840418,45.5116758592,45.1246561414,45.152300407,14011940,0.0,1.0
ORCL,2018-08-27 00:00:00+00:00,49.33,49.7,49.29,49.41,12253333,45.4563873281,45.79733327,45.4195283074,45.5301053696,12253333,0.0,1.0
ORCL,2018-08-28 00:00:00+00:00,48.64,49.43,48.6,49.39,15475698,44.8205692203,45.54853488,44.7837101996,45.5116758592,15475698,0.0,1.0
ORCL,2018-08-29 00:00:00+00:00,48.89,49.1,48.64,48.64,17307730,45.0509381,45.2444479588,44.8205692203,44.8205692203,17307730,0.0,1.0
ORCL,2018-08-30 00:00:00+00:00,48.38,48.89,48.31,48.89,15154895,44.5809855855,45.0509381,44.5164822992,45.0509381,15154895,0.0,1.0
ORCL,2018-08-31 00:00:00+00:00,48.58,48.63,48.35,48.38,17844087,44.7652806892,44.8113544651,44.55334132,44.5809855855,17844087,0.0,1.0
ORCL,2018-09-04 00:00:00+00:00,48.58,48.83,48.16,48.36,17289045,44.7652806892,44.9956495689,44.3782609714,44.5625560752,17289045,0.0,1.0
ORCL,2018-09-05 00:00:00+00:00,48.04,48.49,47.79,48.41,16437911,44.2676839092,44.6823478926,44.0373150296,44.6086298511,16437911,0.0,1.0
ORCL,2018-09-06 00:00:00+00:00,47.71,48.22,47.52,47.95,18456181,43.9635969881,44.4335495026,43.7885166396,44.1847511126,18456181,0.0,1.0
ORCL,2018-09-07 00:00:00+00:00,47.81,47.99,47.33,47.46,20513945,44.05574454,44.2216101333,43.6134362911,43.7332281085,20513945,0.0,1.0
ORCL,2018-09-10 00:00:00+00:00,48.86,49.05,48.0,48.0,20390567,45.0232938344,45.1983741829,44.2308248885,44.2308248885,20390567,0.0,1.0
ORCL,2018-09-11 00:00:00+00:00,48.92,49.05,48.52,48.52,14877344,45.0785823655,45.1983741829,44.7099921581,44.7099921581,14877344,0.0,1.0
ORCL,2018-09-12 00:00:00+00:00,49.34,49.47,48.62,48.75,17058745,45.4656020833,45.5853939007,44.80213971,44.9219315274,17058745,0.0,1.0
ORCL,2018-09-13 00:00:00+00:00,48.96,49.75,48.88,49.28,22124422,45.1154413863,45.8434070459,45.0417233448,45.4103135522,22124422,0.0,1.0
ORCL,2018-09-14 00:00:00+00:00,49.25,49.45,48.94,48.94,20066084,45.3826692866,45.5669643903,45.0970118759,45.0970118759,20066084,0.0,1.0
ORCL,2018-09-17 00:00:00+00:00,49.18,49.94,49.11,49.31,29225048,45.3181660003,46.0184873944,45.253662714,45.4379578177,29225048,0.0,1.0
ORCL,2018-09-18 00:00:00+00:00,49.03,49.54,47.36,47.51,33451106,45.1799446726,45.649897187,43.6410805566,43.7793018844,33451106,0.0,1.0
ORCL,2018-09-19 00:00:00+00:00,49.43,49.54,48.66,48.92,20904826,45.54853488,45.649897187,44.8389987307,45.0785823655,20904826,0.0,1.0
ORCL,2018-09-20 00:00:00+00:00,50.43,51.08,49.56,49.66,26973480,46.4700103985,47.0689694855,45.6683266974,45.7604742492,26973480,0.0,1.0
ORCL,2018-09-21 00:00:00+00:00,51.1,51.12,50.35,50.83,50752079,47.0873989959,47.1058285062,46.396292357,46.8386006059,50752079,0.0,1.0
ORCL,2018-09-24 00:00:00+00:00,51.24,51.6,50.71,50.81,23906147,47.2164055685,47.5481367551,46.7280235437,46.8201710955,23906147,0.0,1.0
ORCL,2018-09-25 00:00:00+00:00,51.72,51.93,50.97,51.39,18665820,47.6587138173,47.8522236762,46.9676071785,47.3546268962,18665820,0.0,1.0
ORCL,2018-09-26 00:00:00+00:00,51.63,52.11,51.56,51.75,18131040,47.5757810207,48.0180892696,47.5112777344,47.6863580829,18131040,0.0,1.0
