symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TWTR,2018-08-13 00:00:00+00:00,32.8,33.62,32.02,32.04,44235322,32.8,33.62,32.02,32.04,44235322,0.0,1.0
TWTR,2018-08-14 00:00:00+00:00,33.19,33.43,32.515,33.4,26442591,33.19,33.43,32.515,33.4,26442591,0.0,1.0
TWTR,2018-08-15 00:00:00+00:00,32.38,33.23,31.951,32.81,26433383,32.38,33.23,31.951,32.81,26433383,0.0,1.0
TWTR,2018-08-16 00:00:00+00:00,32.83,33.15,32.415,32.7,20873238,32.83,33.15,32.415,32.7,20873238,0.0,1.0
TWTR,2018-08-17 00:00:00+00:00,32.73,33.09,32.34,32.74,14874597,32.73,33.09,32.34,32.74,14874597,0.0,1.0
TWTR,2018-08-20 00:00:00+00:00,32.6,32.94,32.2,32.79,16535739,32.6,32.94,32.2,32.79,16535739,0.0,1.0
TWTR,2018-08-21 00:00:00+00:00,33.69,34.14,32.6,32.75,29575742,33.69,34.14,32.6,32.75,29575742,0.0,1.0
TWTR,2018-08-22 00:00:00+00:00,33.81,34.17,33.35,33.45,18576272,33.81,34.17,33.35,33.45,18576272,0.0,1.0
TWTR,2018-08-23 00:00:00+00:00,33.88,34.74,33.72,33.9,25746306,33.88,34.74,33.72,33.9,25746306,0.0,1.0
TWTR,2018-08-24 00:00:00+00:00,34.28,34.49,33.9279,34.0,15214005,34.28,34.49,33.9279,34.0,15214005,0.0,1.0
TWTR,2018-08-27 00:00:00+00:00,35.89,36.0,34.48,34.66,28306330,35.89,36.0,34.48,34.66,28306330,0.0,1.0
TWTR,2018-08-28 00:00:00+00:00,35.49,36.04,34.89,35.98,22281635,35.49,36.04,34.89,35.98,22281635,0.0,1.0
TWTR,2018-08-29 00:00:00+00:00,35.35,35.6,34.81,35.41,17725702,35.35,35.6,34.81,35.41,17725702,0.0,1.0
TWTR,2018-08-30 00:00:00+00:00,35.64,36.149,35.21,35.27,19217247,35.64,36.149,35.21,35.27,19217247,0.0,1.0
TWTR,2018-08-31 00:00:00+00:00,35.18,35.7201,34.59,35.57,19073902,35.18,35.7201,34.59,35.57,19073902,0.0,1.0
TWTR,2018-09-04 00:00:00+00:00,34.84,35.125,34.48,34.75,13567620,34.84,35.125,34.48,34.75,13567620,0.0,1.0
TWTR,2018-09-05 00:00:00+00:00,32.73,34.7,32.51,34.65,36051144,32.73,34.7,32.51,34.65,36051144,0.0,1.0
TWTR,2018-09-06 00:00:00+00:00,30.81,32.95,30.62,32.86,36023568,30.81,32.95,30.62,32.86,36023568,0.0,1.0
TWTR,2018-09-07 00:00:00+00:00,30.49,31.39,29.82,30.31,31484159,30.49,31.39,29.82,30.31,31484159,0.0,1.0
TWTR,2018-09-10 00:00:00+00:00,30.54,30.6,29.9531,30.5,17783982,30.54,30.6,29.9531,30.5,17783982,0.0,1.0
TWTR,2018-09-11 00:00:00+00:00,30.89,31.44,30.35,30.44,16000139,30.89,31.44,30.35,30.44,16000139,0.0,1.0
TWTR,2018-09-12 00:00:00+00:00,29.75,30.83,29.25,30.61,29845199,29.75,30.83,29.25,30.61,29845199,0.0,1.0
TWTR,2018-09-13 00:00:00+00:00,30.39,30.57,29.86,30.1,18522541,30.39,30.57,29.86,30.1,18522541,0.0,1.0
TWTR,2018-09-14 00:00:00+00:00,30.12,30.77,30.06,30.45,13474732,30.12,30.77,30.06,30.45,13474732,0.0,1.0
TWTR,2018-09-17 00:00:00+00:00,28.86,29.28,28.43,29.05,30592298,28.86,29.28,28.43,29.05,30592298,0.0,1.0
TWTR,2018-09-18 00:00:00+00:00,29.22,29.63,28.75,28.84,15856766,29.22,29.63,28.75,28.84,15856766,0.0,1.0
TWTR,2018-09-19 00:00:00+00:00,29.52,29.56,28.82,29.15,16023530,29.52,29.56,28.82,29.15,16023530,0.0,1.0
TWTR,2018-09-20 00:00:00+00:00,29.85,30.02,29.24,29.7,15377977,29.85,30.02,29.24,29.7,15377977,0.0,1.0
TWTR,2018-09-21 00:00:00+00:00,28.5,29.95,28.49,29.86,43122578,28.5,29.95,28.49,29.86,43122578,0.0,1.0
TWTR,2018-09-24 00:00:00+00:00,28.6,29.115,27.93,28.33,20249039,28.6,29.115,27.93,28.33,20249039,0.0,1.0
TWTR,2018-09-25 00:00:00+00:00,29.11,29.24,28.44,28.75,16130320,29.11,29.24,28.44,28.75,16130320,0.0,1.0
TWTR,2018-09-26 00:00:00+00:00,29.01,29.45,28.8,29.2,12742119,29.01,29.45,28.8,29.2,12742119,0.0,1.0
TWTR,2018-09-27 00:00:00+00:00,29.42,29.69,28.88,29.06,14830480,29.42,29.69,28.88,29.06,14830480,0.0,1.0
TWTR,2018-09-28 00:00:00+00:00,28.46,29.28,28.41,29.25,22719644,28.46,29.28,28.41,29.25,22719644,0.0,1.0
TWTR,2018-10-01 00:00:00+00:00,28.31,28.7,28.0,28.51,20538923,28.31,28.7,28.0,28.51,20538923,0.0,1.0
TWTR,2018-10-02 00:00:00+00:00,28.19,28.62,27.91,28.14,17714373,28.19,28.62,27.91,28.14,17714373,0.0,1.0
TWTR,2018-10-03 00:00:00+00:00,29.01,29.12,28.25,28.38,19358693,29.01,29.12,28.25,28.38,19358693,0.0,1.0
TWTR,2018-10-04 00:00:00+00:00,28.23,28.76,27.87,28.75,21120350,28.23,28.76,27.87,28.75,21120350,0.0,1.0
TWTR,2018-10-05 00:00:00+00:00,28.39,28.96,27.97,28.34,28996143,28.39,28.96,27.97,28.34,28996143,0.0,1.0
TWTR,2018-10-08 00:00:00+00:00,28.45,28.939,27.72,28.21,22114409,28.45,28.939,27.72,28.21,22114409,0.0,1.0
TWTR,2018-10-09 00:00:00+00:00,29.27,29.565,28.34,28.7,22759247,29.27,29.565,28.34,28.7,22759247,0.0,1.0
TWTR,2018-10-10 00:00:00+00:00,26.79,29.12,26.7614,29.12,40399372,26.79,29.12,26.7614,29.12,40399372,0.0,1.0
TWTR,2018-10-11 00:00:00+00:00,27.0,27.58,26.19,26.3505,33065282,27.0,27.58,26.19,26.3505,33065282,0.0,1.0
TWTR,2018-10-12 00:00:00+00:00,27.99,28.17,27.26,28.09,27127469,27.99,28.17,27.26,28.09,27127469,0.0,1.0
TWTR,2018-10-15 00:00:00+00:00,28.61,29.05,27.59,27.85,20225196,28.61,29.05,27.59,27.85,20225196,0.0,1.0
TWTR,2018-10-16 00:00:00+00:00,29.87,29.89,28.84,29.1,18443044,29.87,29.89,28.84,29.1,18443044,0.0,1.0
TWTR,2018-10-17 00:00:00+00:00,29.55,30.14,28.96,29.95,19379384,29.55,30.14,28.96,29.95,19379384,0.0,1.0
TWTR,2018-10-18 00:00:00+00:00,29.29,30.24,28.975,29.4,24174288,29.29,30.24,28.975,29.4,24174288,0.0,1.0
TWTR,2018-10-19 00:00:00+00:00,28.83,29.79,28.68,29.33,20112939,28.83,29.79,28.68,29.33,20112939,0.0,1.0
TWTR,2018-10-22 00:00:00+00:00,29.18,29.28,28.31,29.05,21719411,29.18,29.28,28.31,29.05,21719411,0.0,1.0
TWTR,2018-10-23 00:00:00+00:00,28.77,29.02,28.07,28.48,26503639,28.77,29.02,28.07,28.48,26503639,0.0,1.0
TWTR,2018-10-24 00:00:00+00:00,27.54,29.77,27.305,28.85,37910189,27.54,29.77,27.305,28.85,37910189,0.0,1.0
TWTR,2018-10-25 00:00:00+00:00,31.8,33.67,30.76,31.32,79251011,31.8,33.67,30.76,31.32,79251011,0.0,1.0
TWTR,2018-10-26 00:00:00+00:00,32.36,33.1353,30.94,31.2,47746954,32.36,33.1353,30.94,31.2,47746954,0.0,1.0
TWTR,2018-10-29 00:00:00+00:00,32.39,33.75,31.62,32.46,40899855,32.39,33.75,31.62,32.46,40899855,0.0,1.0
TWTR,2018-10-30 00:00:00+00:00,33.86,34.55,31.3,31.77,43678167,33.86,34.55,31.3,31.77,43678167,0.0,1.0
TWTR,2018-10-31 00:00:00+00:00,34.75,35.6373,34.35,34.37,33063723,34.75,35.6373,34.35,34.37,33063723,0.0,1.0
TWTR,2018-11-01 00:00:00+00:00,34.62,34.91,33.82,34.6,27497952,34.62,34.91,33.82,34.6,27497952,0.0,1.0
TWTR,2018-11-02 00:00:00+00:00,34.3,35.35,33.85,34.87,23994750,34.3,35.35,33.85,34.87,23994750,0.0,1.0
TWTR,2018-11-05 00:00:00+00:00,34.02,34.28,33.37,34.26,18214274,34.02,34.28,33.37,34.26,18214274,0.0,1.0
