symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
V,2018-08-13 00:00:00+00:00,140.21,141.24,139.83,140.53,4817496,135.5982838323,136.594405595,135.2307825995,135.9077585547,4817496,0.0,1.0
V,2018-08-14 00:00:00+00:00,140.76,140.99,139.88,140.3,5888925,136.1301935114,136.3526284682,135.2791380249,135.685323598,5888925,0.0,1.0
V,2018-08-15 00:00:00+00:00,139.92,140.69,138.84,140.35,5288739,135.3178223652,136.0624959159,134.2733451771,135.7336790234,5288739,0.0,1.0
V,2018-08-16 00:00:00+00:00,140.65,141.49,140.42,141.07,5931651,136.2269043622,137.0404884337,136.004137295,136.633696398,5931651,0.21,1.0
V,2018-08-17 00:00:00+00:00,141.33,141.71,140.57,140.78,7699607,136.8855200392,137.2535699763,136.1494201649,136.3528161828,7699607,0.0,1.0
V,2018-08-20 00:00:00+00:00,140.94,141.6,140.7,141.54,4662168,136.5077845774,137.147029205,136.2753319855,137.088916057,4662168,0.0,1.0
V,2018-08-21 00:00:00+00:00,140.04,141.46,139.8,141.0,6854347,135.6360873578,137.0114318598,135.403634766,136.5658977253,6854347,0.0,1.0
V,2018-08-22 00:00:00+00:00,141.14,141.53,139.85,139.85,4191949,136.7014950706,137.0792305324,135.4520623893,135.4520623893,4191949,0.0,1.0
V,2018-08-23 00:00:00+00:00,142.1,142.45,140.77,141.01,4427093,137.6313054381,137.9702988012,136.3431306581,136.57558325,4427093,0.0,1.0
V,2018-08-24 00:00:00+00:00,144.2,144.38,142.32,142.32,5714023,139.665265617,139.8396050609,137.8443869806,137.8443869806,5714023,0.0,1.0
V,2018-08-27 00:00:00+00:00,145.4,145.6,144.71,144.99,7194938,140.8275285763,141.0212390696,140.1592273747,140.4304220652,7194938,0.0,1.0
V,2018-08-28 00:00:00+00:00,145.2,146.17,144.87,145.63,4926041,140.6338180831,141.5733139753,140.3141957693,141.0502956435,4926041,0.0,1.0
V,2018-08-29 00:00:00+00:00,147.03,147.3,145.42,145.46,5192935,142.4062690961,142.667778262,140.8468996257,140.8856417243,5192935,0.0,1.0
V,2018-08-30 00:00:00+00:00,146.74,147.71,146.36,146.82,7804963,142.125388881,143.0648847731,141.7573389438,142.2028730783,7804963,0.0,1.0
V,2018-08-31 00:00:00+00:00,146.89,147.64,146.5,146.74,5786569,142.2706717509,142.9970861005,141.8929362891,142.125388881,5786569,0.0,1.0
V,2018-09-04 00:00:00+00:00,147.8,147.86,146.67,146.93,7638091,143.1520544951,143.210167643,142.0575902083,142.3094138495,7638091,0.0,1.0
V,2018-09-05 00:00:00+00:00,142.67,147.82,142.55,147.0,11363400,138.1833803438,143.1714255444,138.0671540478,142.3772125222,11363400,0.0,1.0
V,2018-09-06 00:00:00+00:00,144.5,144.7,142.54,143.29,9589246,139.9558313568,140.14954185,138.0574685232,138.7838828728,9589246,0.0,1.0
V,2018-09-07 00:00:00+00:00,143.2,144.44,142.75,143.99,13626619,138.6967131508,139.8977182088,138.2608645411,139.4618695991,13626619,0.0,1.0
V,2018-09-10 00:00:00+00:00,144.08,144.44,143.21,144.13,5362684,139.549039321,139.8977182088,138.7063986755,139.5974669443,5362684,0.0,1.0
V,2018-09-11 00:00:00+00:00,145.49,145.52,143.25,143.46,9896017,140.9146982983,140.9437548723,138.7451407741,138.948536792,9896017,0.0,1.0
V,2018-09-12 00:00:00+00:00,146.57,146.8,145.07,145.85,6964135,141.9607349617,142.1835020289,140.5079062625,141.2633771861,6964135,0.0,1.0
V,2018-09-13 00:00:00+00:00,147.63,148.07,147.09,147.15,5803447,142.9874005758,143.4135636609,142.4643822441,142.5224953921,5803447,0.0,1.0
