symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
XOM,2018-08-13 00:00:00+00:00,78.56,79.75,78.43,79.45,10308844,61.2511683446,62.178980085,61.1498107595,61.9450779656,10308844,0.0,1.0
XOM,2018-08-14 00:00:00+00:00,78.31,79.07,78.08,78.99,8005941,61.0562499117,61.6488019476,60.8769249535,61.5864280491,8005941,0.0,1.0
XOM,2018-08-15 00:00:00+00:00,76.94,77.9,76.51,77.78,16307784,59.9880968996,60.7365836818,59.6528371951,60.643022834,16307784,0.0,1.0
XOM,2018-08-16 00:00:00+00:00,78.0,78.1,77.2,77.28,11519944,60.8145510549,60.8925184281,60.1908120698,60.2531859683,11519944,0.0,1.0
XOM,2018-08-17 00:00:00+00:00,78.26,78.49,77.8,78.34,10178657,61.0172662251,61.1965911834,60.6586163087,61.0796401237,10178657,0.0,1.0
XOM,2018-08-20 00:00:00+00:00,78.81,79.0,78.17,78.26,8152096,61.4460867774,61.5942247864,60.9470955893,61.0172662251,8152096,0.0,1.0
XOM,2018-08-21 00:00:00+00:00,78.83,79.58,78.67,79.05,9192229,61.4616802521,62.0464355507,61.336932455,61.633208473,9192229,0.0,1.0
XOM,2018-08-22 00:00:00+00:00,79.96,80.05,79.02,79.11,10098237,62.3427115686,62.4128822045,61.6098182611,61.6799888969,10098237,0.0,1.0
XOM,2018-08-23 00:00:00+00:00,79.08,79.63,78.9,79.56,7203899,61.6565986849,62.0854192373,61.5162574133,62.030842076,7203899,0.0,1.0
XOM,2018-08-24 00:00:00+00:00,79.62,80.05,79.42,79.52,6545216,62.0776224999,62.4128822045,61.9216877536,61.9996551268,6545216,0.0,1.0
XOM,2018-08-27 00:00:00+00:00,80.4,80.47,79.86,79.91,6671872,62.6857680105,62.7403451717,62.2647441955,62.3037278821,6671872,0.0,1.0
XOM,2018-08-28 00:00:00+00:00,80.28,80.82,80.2,80.58,8823352,62.5922071627,63.0132309777,62.5298332642,62.8261092822,8823352,0.0,1.0
XOM,2018-08-29 00:00:00+00:00,80.86,81.04,80.1,80.44,8004792,63.044417927,63.1847591986,62.451865891,62.7169549597,8004792,0.0,1.0
XOM,2018-08-30 00:00:00+00:00,80.51,80.78,80.12,80.45,7450853,62.7715321209,62.9820440284,62.4674593657,62.7247516971,7450853,0.0,1.0
XOM,2018-08-31 00:00:00+00:00,80.17,80.46,79.77,80.24,10700016,62.5064430522,62.7325484344,62.1945735597,62.5610202135,10700016,0.0,1.0
XOM,2018-09-04 00:00:00+00:00,80.29,80.69,79.81,80.41,8855027,62.6000039,62.9118733926,62.2257605089,62.6935647478,8855027,0.0,1.0
XOM,2018-09-05 00:00:00+00:00,81.36,81.43,79.6,79.9,13878418,63.4342547927,63.4888319539,62.0620290253,62.2959311447,13878418,0.0,1.0
XOM,2018-09-06 00:00:00+00:00,80.46,81.64,80.34,81.11,13320645,62.7325484344,63.6525634375,62.6389875866,63.2393363598,13320645,0.0,1.0
XOM,2018-09-07 00:00:00+00:00,81.83,81.93,79.82,80.15,16417783,63.8007014465,63.8786688196,62.2335572462,62.4908495776,16417783,0.0,1.0
XOM,2018-09-10 00:00:00+00:00,81.71,82.74,81.66,82.24,10817038,63.7071405987,64.5102045421,63.6681569121,64.1203676764,10817038,0.0,1.0
XOM,2018-09-11 00:00:00+00:00,82.86,83.19,81.63,81.96,11891917,64.6037653899,64.8610577213,63.6447667002,63.9020590316,11891917,0.0,1.0
XOM,2018-09-12 00:00:00+00:00,83.13,83.78,82.87,83.25,11556657,64.8142772974,65.3210652229,64.6115621272,64.9078381452,11556657,0.0,1.0
XOM,2018-09-13 00:00:00+00:00,82.32,83.25,82.01,83.15,11162714,64.1827415749,64.9078381452,63.9410427182,64.829870772,11162714,0.0,1.0
XOM,2018-09-14 00:00:00+00:00,82.92,83.15,82.27,82.42,9442579,64.6505458138,64.829870772,64.1437578883,64.2607089481,9442579,0.0,1.0
XOM,2018-09-17 00:00:00+00:00,83.41,83.61,82.99,83.0,8403325,65.0325859422,65.1885206885,64.705122975,64.7129197123,8403325,0.0,1.0
XOM,2018-09-18 00:00:00+00:00,83.63,84.13,83.45,83.9,9219890,65.2041141631,65.5939510289,65.0637728915,65.4146260706,9219890,0.0,1.0
XOM,2018-09-19 00:00:00+00:00,84.63,84.77,83.64,83.64,10413591,65.9837878946,66.092942217,65.2119109005,65.2119109005,10413591,0.0,1.0
XOM,2018-09-20 00:00:00+00:00,84.82,85.34,84.54,84.86,11198171,66.1319259036,66.537356244,65.9136172588,66.1631128529,11198171,0.0,1.0
XOM,2018-09-21 00:00:00+00:00,85.17,85.43,84.52,85.01,26639437,66.4048117096,66.6075268798,65.8980237842,66.2800639126,26639437,0.0,1.0
XOM,2018-09-24 00:00:00+00:00,86.6,87.09,85.72,85.79,13549454,67.5197451456,67.901785274,66.8336322619,66.8882094231,13549454,0.0,1.0
XOM,2018-09-25 00:00:00+00:00,86.5,87.36,86.37,87.03,12200690,67.4417777725,68.1122971815,67.3404201874,67.8550048502,12200690,0.0,1.0
XOM,2018-09-26 00:00:00+00:00,85.78,86.5,85.69,86.02,10275498,66.8804126858,67.4417777725,66.81024205,67.0675343814,10275498,0.0,1.0
XOM,2018-09-27 00:00:00+00:00,85.77,86.38,85.59,86.09,7895430,66.8726159485,67.3482169247,66.7322746768,67.1221115426,7895430,0.0,1.0
XOM,2018-09-28 00:00:00+00:00,85.02,85.93,84.99,85.25,9884941,66.2878606499,66.9973637455,66.264470438,66.4671856081,9884941,0.0,1.0
XOM,2018-10-01 00:00:00+00:00,85.81,86.03,85.26,85.35,8568210,66.9038028978,67.0753311187,66.4749823454,66.5451529813,8568210,0.0,1.0
XOM,2018-10-02 00:00:00+00:00,86.46,86.67,85.62,85.8,8453138,67.4105908232,67.5743223068,66.7556648888,66.8960061604,8453138,0.0,1.0
XOM,2018-10-03 00:00:00+00:00,86.15,86.89,85.98,86.51,10206722,67.1688919665,67.7458505278,67.0363474321,67.4495745098,10206722,0.0,1.0
XOM,2018-10-04 00:00:00+00:00,85.58,86.08,85.25,85.5,10204586,66.7244779395,67.1143148053,66.4671856081,66.662104041,10204586,0.0,1.0
XOM,2018-10-05 00:00:00+00:00,85.34,85.7,84.93,85.31,9217393,66.537356244,66.8180387873,66.2176900141,66.513966032,9217393,0.0,1.0
XOM,2018-10-08 00:00:00+00:00,86.13,86.31,84.65,84.79,13242364,67.1532984918,67.2936397635,65.9993813692,66.1085356917,13242364,0.0,1.0
