,0
0,327.2569804024696
1,327.9595242273807
2,330.2715675067901
3,333.87718887448307
4,338.429533137083
5,343.65545224964615
6,349.36836921989914
7,355.4454388004541
8,361.7994853687286
9,368.35683536350723
10,375.0438991916179
11,381.781243084073
12,388.4831356686353
13,395.05902580738064
14,401.4170860481262
15,407.46832705855365
16,413.12968765020366
17,418.3278805148601
18,423.00174332976337
19,427.1044555139541
20,430.6048145425319
21,433.48770616769787
22,435.75433952927585
23,437.421978456974
24,438.52286667942997
25,439.10322020769115
26,439.222051782608
27,438.94902129292484
28,438.3632602226734
29,437.5507518482208
