,0
0,165.16542528867726
1,164.74058262825014
2,164.607800976038
3,164.56603720068935
4,164.54714553356175
5,164.53073778510097
6,164.50782710671427
7,164.47346880316738
8,164.4264132010937
9,164.3685733807087
10,164.3039914953709
11,164.23782051920892
12,164.17518257021908
13,164.1203357946873
14,164.07632723569873
15,164.04471512794498
16,164.02559975385668
17,164.01802457332613
18,164.0201690745354
19,164.02979618787768
20,164.0446919858456
21,164.06281996369364
22,164.08259874463084
23,164.10292522192003
24,164.12330569744114
25,164.14354732036594
26,164.16388151168826
27,164.18475568532946
28,164.20657868504526
29,164.2298750650883
