,0
0,158.41102907955647
1,158.39781137347222
2,158.21837921857835
3,157.96667644381523
4,157.70077480554582
5,157.44377537608148
6,157.19909226417542
7,156.96321563839913
8,156.7314790183306
9,156.50030078053476
10,156.26718415856362
11,156.03073319673538
12,155.79018211364746
13,155.54542720973492
14,155.29691519081592
15,155.04530016183853
16,154.79159518778326
17,154.53682131052017
18,154.2822069710493
19,154.02858974277973
20,153.77688696801664
21,153.52766500592233
22,153.28133067786695
23,153.0380514985323
24,152.79785937547683
25,152.56064263224602
26,152.32618589282038
27,152.09417805850507
28,151.86440375328064
29,151.6365518784523
