,0
0,158.72394016265866
1,159.588289155364
2,161.17387524127957
3,162.902468188405
4,164.5494906145334
5,166.03857968628404
6,167.34803670525548
7,168.48214612782
8,169.4623910474777
9,170.32151023924348
10,171.09740593910215
11,171.82699081182477
12,172.54167130470273
13,173.26425731062886
14,174.0080942201614
15,174.77762681126592
16,175.56996929526326
17,176.37722721576688
18,177.18896308422086
19,177.994186578989
20,178.78311255455014
21,179.5481671977043
22,180.28450769066808
23,180.98994481444356
24,181.66448962569234
25,182.3097895669937
26,182.92844295382497
27,183.5232913482189
28,184.09705468893048
29,184.65206593155858
