,0
0,1328.8640561378002
1,1326.074027700424
2,1320.4811050140856
3,1313.5051590454577
4,1305.743575158119
5,1297.668374247551
6,1289.6847779154778
7,1282.09611053586
8,1275.0903158843516
9,1268.7491175961493
10,1263.0686044645308
11,1257.9812567102908
12,1253.379927854538
13,1249.1368861198425
14,1245.120694375038
15,1241.2077379024029
16,1237.2908702230452
17,1233.285588686466
18,1229.131372514963
19,1224.7904476857184
20,1220.2478898572922
21,1215.5052429270743
22,1210.5787692809104
23,1205.4937888360023
24,1200.2817970991134
25,1194.975010062456
26,1189.6049232327937
27,1184.1990179836748
28,1178.7811732614039
29,1173.3674455988407
