,0
0,398.2513207697869
1,399.4808810794354
2,401.12297886610037
3,402.9171478927136
4,404.7178052556515
5,406.44906622648244
6,408.07216539621356
7,409.56854310512546
8,410.93219112634665
9,412.16620959520344
10,413.28011839628226
11,414.2881836390496
12,415.20804591655735
13,416.0583883452416
14,416.8578666067124
15,417.6238195109368
16,418.37141851663597
17,419.1131190347672
18,419.85827634096154
19,420.6133101844788
20,421.38184196233755
21,422.1649416327477
22,422.96153923749927
23,423.76927538156514
24,424.58439149379734
25,425.40269004583365
26,426.21986377000815
27,427.0315505290032
28,427.8339094471932
29,428.6237032151223
