,0
0,112.7246520549059
1,111.94222645759584
2,111.20668879449369
3,110.58853125870229
4,110.09958441853524
5,109.73598575890065
6,109.48641661107541
7,109.33421179950238
8,109.25948997139932
9,109.24134597480298
10,109.25954167842866
11,109.29597962200643
12,109.33571130335332
13,109.36722673773767
14,109.38288362622262
15,109.37836960256101
16,109.35250057578088
17,109.3063727349043
18,109.24288167357446
19,109.1658071756363
20,109.0793995589018
21,108.98775919079782
22,108.8944693684578
23,108.8025084167719
24,108.71393427550794
25,108.63010683953763
26,108.55154317915441
27,108.47829500138761
28,108.40989694297315
29,108.34556305706502
